main_crop,crop,Cf
cereals,barley,0.9
cereals,maize,0.8
cereals,oat,0.9
cereals,rice,0.8
cereals,rye,0.9
cereals,triticale,0.9
cereals,wheat,0.9
citrus,lemon,1
citrus,orange,1
citrus,other_citrus,1
citrus,tangerine,1
dried_fruits,almonds,1
dried_fruits,chestnut,1
dried_fruits,locust,1
dried_fruits,nuuts,1
dried_fruits,other_dried_nuts,1
fresh_fruits,apple,1
fresh_fruits,cherry,1
fresh_fruits,other_fresh_fruits,1
fresh_fruits,peach,1
fresh_fruits,pear,1
olive_grove,olive_grove,1
vineyard,vineyard,1
pulses,bean,1
