Muni_ID,ID,Muni,fodder,crop,res_remov,res_burnt,other_manure
1601,1111601,Arcos de Valdevez,32.8,1.5,0.4,0.1,0.1
1602,1111602,Caminha,15.7,2.5,0.7,0.0,0.2
1603,1111603,Melgaço,8.4,0.5,0.1,0.1,0.0
1604,1111604,Monção,35.6,3.8,0.8,0.4,0.0
1605,1111605,Paredes de Coura,65.6,2.5,0.6,0.0,0.3
1606,1111606,Ponte da Barca,40.8,3.6,0.8,0.2,0.6
1607,1111607,Ponte de Lima,60.0,8.2,2.0,0.4,0.2
1608,1111608,Valença,36.2,6.2,1.6,0.2,0.3
1609,1111609,Viana do Castelo,53.3,6.1,1.5,0.2,0.3
1610,1111610,Vila Nova de Cerveira,55.9,4.4,1.2,0.1,0.6
301,1120301,Amares,60.4,11.6,2.5,1.1,0.9
302,1120302,Barcelos,347.0,4.2,0.9,0.2,0.9
303,1120303,Braga,145.7,13.4,3.3,0.4,0.7
306,1120306,Esposende,230.7,17.3,1.4,0.1,0.5
310,1120310,Terras de Bouro,16.5,1.6,0.4,0.0,0.2
313,1120313,Vila Verde,83.2,10.3,2.6,0.3,0.6
307,1130307,Fafe,62.2,11.4,2.9,0.3,1.8
308,1130308,Guimarães,96.0,14.7,2.9,0.5,1.1
309,1130309,Póvoa de Lanhoso,82.2,10.5,2.7,0.4,0.9
1314,1131314,Santo Tirso,122.8,11.5,2.3,0.5,0.2
1318,1131318,Trofa,324.0,6.7,1.1,0.1,0.5
311,1130311,Vieira do Minho,38.9,2.3,0.6,0.1,0.2
312,1130312,Vila Nova de Famalicão,259.2,6.8,1.5,0.3,0.7
314,1130314,Vizela,55.4,17.6,4.1,0.7,0.2
107,1140107,Espinho,318.8,25.0,4.9,4.5,0.0
1304,1141304,Gondomar,50.0,22.0,2.8,0.1,0.1
1306,1141306,Maia,263.7,9.8,1.2,0.1,0.3
1308,1141308,Matosinhos,311.2,6.9,0.7,0.1,0.0
1312,1141312,Porto,44.2,9.9,1.5,0.4,0.0
1313,1141313,Póvoa de Varzim,443.7,14.9,0.3,0.0,1.7
