main_hydro,aquifer_ID
massif,1
massif,2
massif,3
western,4
massif,5
massif,6
massif,7
western,8
western,9
massif,10
western,11
tagus_sado,12
tagus_sado,13
massif,14
western,15
massif,16
western,17
western,18
western,19
western,20
western,21
western,22
western,23
western,24
western,25
western,26
western,27
massif,28
western,29
massif,30
western,31
massif,32
western,33
western,34
western,35
western,36
western,37
western,38
massif,39
massif,40
massif,41
massif,42
tagus_sado,43
tagus_sado,44
tagus_sado,45
tagus_sado,46
meridional,47
massif,48
meridional,49
meridional,50
western,51
massif,52
massif,53
massif,54
massif,55
massif,56
massif,57
meridional,58
massif,59
meridional,60
meridional,61
meridional,62
western,63
massif,64
meridional,65
western,66
western,67
meridional,68
meridional,69
meridional,70
meridional,71
meridional,72
massif,73
western,74
meridional,75
meridional,76
meridional,77
meridional,78
massif,79
meridional,80
western,81
meridional,82
meridional,83
meridional,84
massif,85
western,86
western,87
western,88
western,89
massif,90
western,91
meridional,92
massif,93
