Muni_ID,ID,Muni,nuts3,agrarian_region,volume_region
1601,1111601,Arcos de Valdevez,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1602,1111602,Caminha,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1603,1111603,Melga�o,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1604,1111604,Mon��o,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1605,1111605,Paredes de Coura,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1606,1111606,Ponte da Barca,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1607,1111607,Ponte de Lima,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1608,1111608,Valen�a,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1609,1111609,Viana do Castelo,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
1610,1111610,Vila Nova de Cerveira,ALTO MINHO,ENTRE DOURO E MINHO,Littoral_north
301,1120301,Amares,C�VADO,ENTRE DOURO E MINHO,Littoral_north
302,1120302,Barcelos,C�VADO,ENTRE DOURO E MINHO,Littoral_north
303,1120303,Braga,C�VADO,ENTRE DOURO E MINHO,Littoral_north
306,1120306,Esposende,C�VADO,ENTRE DOURO E MINHO,Littoral_north
310,1120310,Terras de Bouro,C�VADO,ENTRE DOURO E MINHO,Littoral_north
313,1120313,Vila Verde,C�VADO,ENTRE DOURO E MINHO,Littoral_north
307,1130307,Fafe,AVE,ENTRE DOURO E MINHO,Littoral_north
308,1130308,Guimar�es,AVE,ENTRE DOURO E MINHO,Littoral_north
309,1130309,P�voa de Lanhoso,AVE,ENTRE DOURO E MINHO,Littoral_north
311,1130311,Vieira do Minho,AVE,ENTRE DOURO E MINHO,Littoral_north
312,1130312,Vila Nova de Famalic�o,AVE,ENTRE DOURO E MINHO,Littoral_north
314,1130314,Vizela,AVE,ENTRE DOURO E MINHO,Littoral_north
1314,1131314,Santo Tirso,�REA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,Littoral_north
