Muni_ID,ID,Muni,fertiliser
1601,1111601,Arcos de Valdevez,0.4592
1602,1111602,Caminha,0.00186666666666667
1603,1111603,Melgaço,0.153066666666667
1604,1111604,Monção,0.658933333333333
1605,1111605,Paredes de Coura,1.16666666666667
1606,1111606,Ponte da Barca,0.210933333333333
1607,1111607,Ponte de Lima,1.18533333333333
1608,1111608,Valença,1.35893333333333
1609,1111609,Viana do Castelo,0.735466666666667
1610,1111610,Vila Nova de Cerveira,1.3888
301,1120301,Amares,0.4816
302,1120302,Barcelos,0.0466666666666667
303,1120303,Braga,1.6296
306,1120306,Esposende,0.709333333333333
310,1120310,Terras de Bouro,0.326666666666667
313,1120313,Vila Verde,1.91333333333333
307,1130307,Fafe,2.35573333333333
308,1130308,Guimarães,1.45226666666667
309,1130309,Póvoa de Lanhoso,2.23066666666667
1314,1131314,Santo Tirso,0.881066666666667
1318,1131318,Trofa,0.0821333333333334
311,1130311,Vieira do Minho,0.832533333333334
312,1130312,Vila Nova de Famalicão,0.0354666666666667
314,1130314,Vizela,2.45653333333333
107,1140107,Espinho,1.26373333333333
1304,1141304,Gondomar,1.70426666666667
1306,1141306,Maia,0.306133333333333
1308,1141308,Matosinhos,0.2632
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0.931466666666667
1315,1141315,Valongo,0.252
1316,1141316,Vila do Conde,0.0373333333333333
1317,1141317,Vila Nova de Gaia,1.66133333333333
1301,1151301,Amarante,2.1896
1302,1151302,Baião,1.8704
304,1150304,Cabeceiras de Basto,1.19466666666667
106,1150106,Castelo de Paiva,2.30346666666667
305,1150305,Celorico de Basto,2.42293333333333
1804,1151804,Cinfães,1.37946666666667
1303,1151303,Felgueiras,1.75093333333333
1305,1151305,Lousada,1.44293333333333
1307,1151307,Marco de Canaveses,2.04773333333333
1705,1151705,Mondim de Basto,1.03226666666667
1309,1151309,Paços de Ferreira,1.69866666666667
1310,1151310,Paredes,1.70613333333333
1311,1151311,Penafiel,1.8088
1813,1151813,Resende,0.392
1709,1151709,Ribeira de Pena,1.97493333333333
104,1160104,Arouca,0.877333333333333
113,1160113,Oliveira de Azeméis,0.0616
109,1160109,Santa Maria da Feira,0.504
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1.29733333333333
1701,1171701,Alijó,0.337866666666667
1801,1171801,Armamar,0.522666666666667
403,1170403,Carrazeda de Ansiães,0.524533333333333
404,1170404,Freixo de Espada à Cinta,0.505866666666667
1805,1171805,Lamego,0.3416
1704,1171704,Mesão Frio,0.0373333333333333
1807,1171807,Moimenta da Beira,0.0784
1812,1171812,Penedono,1.06773333333333
1708,1171708,Peso da Régua,0.395733333333333
1710,1171710,Sabrosa,0.300533333333333
1711,1171711,Santa Marta de Penaguião,0.42
1815,1171815,São João da Pesqueira,0.539466666666667
1818,1171818,Sernancelhe,0.602933333333333
1819,1171819,Tabuaço,0.6104
1820,1171820,Tarouca,0.0429333333333333
409,1170409,Torre de Moncorvo,0.477866666666667
410,1170410,Vila Flor,0.742933333333333
914,1170914,Vila Nova de Foz Côa,0.392
1714,1171714,Vila Real,0.3024
401,1180401,Alfândega da Fé,0.597333333333333
1702,1181702,Boticas,0.339733333333333
402,1180402,Bragança,0.7672
1703,1181703,Chaves,0.524533333333333
405,1180405,Macedo de Cavaleiros,0.853066666666667
406,1180406,Miranda do Douro,0.550666666666667
407,1180407,Mirandela,0.6888
408,1180408,Mogadouro,0.696266666666667
1706,1181706,Montalegre,0.186666666666667
1707,1181707,Murça,0.199733333333333
1712,1181712,Valpaços,0.868
1713,1181713,Vila Pouca de Aguiar,0.367733333333333
411,1180411,Vimioso,0.670133333333333
412,1180412,Vinhais,0.899733333333334
101,1610101,Águeda,0.4816
102,1610102,Albergaria-a-Velha,0.0205333333333333
103,1610103,Anadia,0.494666666666667
105,1610105,Aveiro,1.232
108,1610108,Estarreja,0.0149333333333333
110,1610110,Ílhavo,0.5712
111,1610111,Mealhada,0.084
112,1610112,Murtosa,0.225866666666667
114,1610114,Oliveira do Bairro,0.847466666666667
115,1610115,Ovar,0.0616
117,1610117,Sever do Vouga,0.0168
118,1610118,Vagos,0.446133333333333
602,1620602,Cantanhede,0.298666666666667
603,1620603,Coimbra,2.21573333333333
604,1620604,Condeixa-a-Nova,1.4224
605,1620605,Figueira da Foz,1.344
608,1620608,Mira,0.550666666666667
610,1620610,Montemor-o-Velho,1.71733333333333
613,1620613,Penacova,1.7416
615,1620615,Soure,1.9432
1004,1631004,Batalha,0.0672
1009,1631009,Leiria,0.186666666666667
1010,1631010,Marinha Grande,0.0970666666666667
1015,1631015,Pombal,0.0672
1016,1631016,Porto de Mós,0.00933333333333333
1002,1641002,Alvaiázere,0.6328
1003,1641003,Ansião,0.629066666666667
601,1640601,Arganil,1.3048
1007,1641007,Castanheira de Pêra,0.875466666666667
