Muni_ID,ID,Muni,tot_wheat
1601,1111601,Arcos de Valdevez,1
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,0
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,1
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,0
302,1120302,Barcelos,0
303,1120303,Braga,0
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,0
307,1130307,Fafe,0
308,1130308,Guimarães,0
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,0
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,0
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,0
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,0
1301,1151301,Amarante,2
1302,1151302,Baião,2
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,1
305,1150305,Celorico de Basto,2
1804,1151804,Cinfães,3
1303,1151303,Felgueiras,0
1305,1151305,Lousada,0
1307,1151307,Marco de Canaveses,0
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,0
1311,1151311,Penafiel,2
1813,1151813,Resende,99
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,2
1801,1171801,Armamar,1
403,1170403,Carrazeda de Ansiães,222
404,1170404,Freixo de Espada à Cinta,267
1805,1171805,Lamego,12
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,25
1812,1171812,Penedono,23
1708,1171708,Peso da Régua,0
1710,1171710,Sabrosa,1
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,34
1818,1171818,Sernancelhe,25
1819,1171819,Tabuaço,14
1820,1171820,Tarouca,4
409,1170409,Torre de Moncorvo,227
410,1170410,Vila Flor,173
914,1170914,Vila Nova de Foz Côa,105
1714,1171714,Vila Real,6
401,1180401,Alfândega da Fé,142
1702,1181702,Boticas,28
402,1180402,Bragança,2233
1703,1181703,Chaves,206
405,1180405,Macedo de Cavaleiros,767
406,1180406,Miranda do Douro,3412
407,1180407,Mirandela,772
408,1180408,Mogadouro,4724
1706,1181706,Montalegre,363
1707,1181707,Murça,21
1712,1181712,Valpaços,72
1713,1181713,Vila Pouca de Aguiar,14
411,1180411,Vimioso,1379
412,1180412,Vinhais,446
101,1610101,Águeda,16
102,1610102,Albergaria-a-Velha,18
103,1610103,Anadia,13
105,1610105,Aveiro,9
108,1610108,Estarreja,11
110,1610110,Ílhavo,13
111,1610111,Mealhada,8
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,5
602,1620602,Cantanhede,74
603,1620603,Coimbra,28
604,1620604,Condeixa-a-Nova,55
605,1620605,Figueira da Foz,22
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,18
613,1620613,Penacova,80
615,1620615,Soure,84
1004,1631004,Batalha,0
1009,1631009,Leiria,46
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,270
1016,1631016,Porto de Mós,43
1002,1641002,Alvaiázere,18
1003,1641003,Ansião,195
601,1640601,Arganil,38
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,1
606,1640606,Góis,1
607,1640607,Lousã,6
609,1640609,Miranda do Corvo,0
611,1640611,Oliveira do Hospital,2
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,7
614,1640614,Penela,62
616,1640616,Tábua,40
617,1640617,Vila Nova de Poiares,20
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,0
1803,1651803,Castro Daire,3
1806,1651806,Mangualde,1
1808,1651808,Mortágua,53
1809,1651809,Nelas,0
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,2
1814,1651814,Santa Comba Dão,2
1816,1651816,São Pedro do Sul,2
1817,1651817,Sátão,20
1821,1651821,Tondela,13
1822,1651822,Vila Nova de Paiva,7
1823,1651823,Viseu,12
1824,1651824,Vouzela,0
1413,1661413,Mação,16
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,15
509,1660509,Sertã,18
510,1660510,Vila de Rei,14
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,0
912,1670912,Seia,0
902,1680902,Almeida,127
903,1680903,Celorico da Beira,3
904,1680904,Figueira de Castelo Rodrigo,462
907,1680907,Guarda,32
908,1680908,Manteigas,0
909,1680909,Mêda,119
910,1680910,Pinhel,236
911,1680911,Sabugal,144
913,1680913,Trancoso,44
502,1690502,Castelo Branco,89
505,1690505,Idanha-a-Nova,817
507,1690507,Penamacor,115
511,1690511,Vila Velha de Ródão,9
501,16A0501,Belmonte,0
503,16A0503,Covilhã,101
504,16A0504,Fundão,153
1001,16B1001,Alcobaça,127
1101,16B1101,Alenquer,1021
1102,16B1102,Arruda dos Vinhos,429
1005,16B1005,Bombarral,13
1104,16B1104,Cadaval,42
1006,16B1006,Caldas da Rainha,64
1108,16B1108,Lourinhã,251
1011,16B1011,Nazaré,4
1012,16B1012,Óbidos,24
1014,16B1014,Peniche,69
1112,16B1112,Sobral de Monte Agraço,516
1113,16B1113,Torres Vedras,801
1401,16C1401,Abrantes,386
1402,16C1402,Alcanena,94
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,9
1421,16C1421,Ourém,16
1417,16C1417,Sardoal,1
1418,16C1418,Tomar,190
1419,16C1419,Torres Novas,365
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,126
1109,1711109,Mafra,355
1116,1711116,Odivelas,0
1110,1711110,Oeiras,38
1111,1711111,Sintra,375
1114,1711114,Vila Franca de Xira,1950
1502,1721502,Alcochete,0
1503,1721503,Almada,10
1504,1721504,Barreiro,0
1506,1721506,Moita,80
1507,1721507,Montijo,147
1508,1721508,Palmela,220
1510,1721510,Seixal,0
1511,1721511,Sesimbra,59
1512,1721512,Setúbal,0
1501,1811501,Alcácer do Sal,2654
1505,1811505,Grândola,266
211,1810211,Odemira,4809
1509,1811509,Santiago do Cacém,4290
1513,1811513,Sines,957
1201,1821201,Alter do Chão,1302
1202,1821202,Arronches,1950
1203,1821203,Avis,3040
1204,1821204,Campo Maior,3780
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,117
1207,1821207,Elvas,8459
1208,1821208,Fronteira,2682
1209,1821209,Gavião,204
1210,1821210,Marvão,0
1211,1821211,Monforte,3432
707,1820707,Mora,1407
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,491
1214,1821214,Portalegre,30
701,1830701,Alandroal,2940
702,1830702,Arraiolos,3977
703,1830703,Borba,645
704,1830704,Estremoz,3981
