Muni_ID,ID,Muni,tot_for_sorghum
1601,1111601,Arcos de Valdevez,266.6
1602,1111602,Caminha,50.4
1603,1111603,Melgaço,76.4
1604,1111604,Monção,204.2
1605,1111605,Paredes de Coura,189
1606,1111606,Ponte da Barca,118.4
1607,1111607,Ponte de Lima,619.2
1608,1111608,Valença,94.2
1609,1111609,Viana do Castelo,432.6
1610,1111610,Vila Nova de Cerveira,78.2
301,1120301,Amares,149.8
302,1120302,Barcelos,878.2
303,1120303,Braga,366.4
306,1120306,Esposende,162.6
310,1120310,Terras de Bouro,127
313,1120313,Vila Verde,395.8
307,1130307,Fafe,381.6
308,1130308,Guimarães,541.6
309,1130309,Póvoa de Lanhoso,150.6
1314,1131314,Santo Tirso,193.4
1318,1131318,Trofa,92.8
311,1130311,Vieira do Minho,99.2
312,1130312,Vila Nova de Famalicão,518.4
314,1130314,Vizela,48.4
107,1140107,Espinho,3
1304,1141304,Gondomar,41.4
1306,1141306,Maia,33
1308,1141308,Matosinhos,45.6
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,352
1315,1141315,Valongo,35
1316,1141316,Vila do Conde,500.2
1317,1141317,Vila Nova de Gaia,31.8
1301,1151301,Amarante,410.6
1302,1151302,Baião,206.6
304,1150304,Cabeceiras de Basto,222.8
106,1150106,Castelo de Paiva,71.8
305,1150305,Celorico de Basto,407.6
1804,1151804,Cinfães,210.6
1303,1151303,Felgueiras,226.4
1305,1151305,Lousada,188.8
1307,1151307,Marco de Canaveses,182.2
1705,1151705,Mondim de Basto,165.8
1309,1151309,Paços de Ferreira,107.8
1310,1151310,Paredes,168.6
1311,1151311,Penafiel,201.4
1813,1151813,Resende,55.8
1709,1151709,Ribeira de Pena,191.4
104,1160104,Arouca,265.2
113,1160113,Oliveira de Azeméis,85.2
109,1160109,Santa Maria da Feira,43.8
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,92
1701,1171701,Alijó,17.8
1801,1171801,Armamar,0.4
403,1170403,Carrazeda de Ansiães,23.4
404,1170404,Freixo de Espada à Cinta,8.2
1805,1171805,Lamego,7.2
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,79.6
1812,1171812,Penedono,8.2
1708,1171708,Peso da Régua,0.4
1710,1171710,Sabrosa,13.6
1711,1171711,Santa Marta de Penaguião,2.8
1815,1171815,São João da Pesqueira,6
1818,1171818,Sernancelhe,34
1819,1171819,Tabuaço,1.8
1820,1171820,Tarouca,35.2
409,1170409,Torre de Moncorvo,70.8
410,1170410,Vila Flor,27
914,1170914,Vila Nova de Foz Côa,12.6
1714,1171714,Vila Real,148.2
401,1180401,Alfândega da Fé,39.4
1702,1181702,Boticas,144
402,1180402,Bragança,161.4
1703,1181703,Chaves,121.6
405,1180405,Macedo de Cavaleiros,211.2
406,1180406,Miranda do Douro,176.4
407,1180407,Mirandela,146.4
408,1180408,Mogadouro,178.8
1706,1181706,Montalegre,493
1707,1181707,Murça,23.2
1712,1181712,Valpaços,46.2
1713,1181713,Vila Pouca de Aguiar,224.4
411,1180411,Vimioso,74
412,1180412,Vinhais,82
101,1610101,Águeda,108.6
102,1610102,Albergaria-a-Velha,119.4
103,1610103,Anadia,55.6
105,1610105,Aveiro,65.6
108,1610108,Estarreja,167
110,1610110,Ílhavo,24.6
111,1610111,Mealhada,14.8
112,1610112,Murtosa,154.4
114,1610114,Oliveira do Bairro,43.8
115,1610115,Ovar,62.6
117,1610117,Sever do Vouga,45.6
118,1610118,Vagos,206.6
602,1620602,Cantanhede,102.4
603,1620603,Coimbra,60.6
604,1620604,Condeixa-a-Nova,19.4
605,1620605,Figueira da Foz,129
608,1620608,Mira,62.2
610,1620610,Montemor-o-Velho,403.6
613,1620613,Penacova,1.4
615,1620615,Soure,45.4
1004,1631004,Batalha,12.4
1009,1631009,Leiria,69.2
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,81.4
1016,1631016,Porto de Mós,58.6
1002,1641002,Alvaiázere,6.6
1003,1641003,Ansião,14
601,1640601,Arganil,15.6
1007,1641007,Castanheira de Pêra,0.6
1008,1641008,Figueiró dos Vinhos,0.2
606,1640606,Góis,11.4
607,1640607,Lousã,1.4
609,1640609,Miranda do Corvo,3
611,1640611,Oliveira do Hospital,142
612,1640612,Pampilhosa da Serra,3
1013,1641013,Pedrógão Grande,0.4
614,1640614,Penela,5.4
616,1640616,Tábua,44.2
617,1640617,Vila Nova de Poiares,0
901,1650901,Aguiar da Beira,48.4
1802,1651802,Carregal do Sal,32.6
1803,1651803,Castro Daire,179.8
1806,1651806,Mangualde,234.6
1808,1651808,Mortágua,99.4
1809,1651809,Nelas,50.8
1810,1651810,Oliveira de Frades,145.4
1811,1651811,Penalva do Castelo,77.6
1814,1651814,Santa Comba Dão,25.4
1816,1651816,São Pedro do Sul,284.4
1817,1651817,Sátão,50
1821,1651821,Tondela,213.4
1822,1651822,Vila Nova de Paiva,87.6
1823,1651823,Viseu,257
1824,1651824,Vouzela,176.8
1413,1661413,Mação,36.4
506,1660506,Oleiros,17
508,1660508,Proença-a-Nova,170.8
509,1660509,Sertã,53.4
510,1660510,Vila de Rei,3.8
