Muni_ID,ID,Muni,tot_tempo_past
1601,1111601,Arcos de Valdevez,874
1602,1111602,Caminha,72
1603,1111603,Melgaço,110
1604,1111604,Monção,455
1605,1111605,Paredes de Coura,646
1606,1111606,Ponte da Barca,191
1607,1111607,Ponte de Lima,278
1608,1111608,Valença,150
1609,1111609,Viana do Castelo,165
1610,1111610,Vila Nova de Cerveira,92
301,1120301,Amares,118
302,1120302,Barcelos,90
303,1120303,Braga,72
306,1120306,Esposende,23
310,1120310,Terras de Bouro,487
313,1120313,Vila Verde,754
307,1130307,Fafe,579
308,1130308,Guimarães,67
309,1130309,Póvoa de Lanhoso,154
1314,1131314,Santo Tirso,107
1318,1131318,Trofa,29
311,1130311,Vieira do Minho,186
312,1130312,Vila Nova de Famalicão,72
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,13
1306,1141306,Maia,31
1308,1141308,Matosinhos,54
1312,1141312,Porto,6
1313,1141313,Póvoa de Varzim,3
1315,1141315,Valongo,2
1316,1141316,Vila do Conde,5
1317,1141317,Vila Nova de Gaia,12
1301,1151301,Amarante,142
1302,1151302,Baião,270
304,1150304,Cabeceiras de Basto,430
106,1150106,Castelo de Paiva,26
305,1150305,Celorico de Basto,108
1804,1151804,Cinfães,11
1303,1151303,Felgueiras,13
1305,1151305,Lousada,2
1307,1151307,Marco de Canaveses,59
1705,1151705,Mondim de Basto,52
1309,1151309,Paços de Ferreira,49
1310,1151310,Paredes,13
1311,1151311,Penafiel,8
1813,1151813,Resende,17
1709,1151709,Ribeira de Pena,86
104,1160104,Arouca,159
113,1160113,Oliveira de Azeméis,5
109,1160109,Santa Maria da Feira,5
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,3
1701,1171701,Alijó,1
1801,1171801,Armamar,2
403,1170403,Carrazeda de Ansiães,3
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,11
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,5
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,0
1710,1171710,Sabrosa,1
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,0
1818,1171818,Sernancelhe,8
1819,1171819,Tabuaço,1
1820,1171820,Tarouca,6
409,1170409,Torre de Moncorvo,24
410,1170410,Vila Flor,5
914,1170914,Vila Nova de Foz Côa,9
1714,1171714,Vila Real,102
401,1180401,Alfândega da Fé,148
1702,1181702,Boticas,0
402,1180402,Bragança,182
1703,1181703,Chaves,94
405,1180405,Macedo de Cavaleiros,209
406,1180406,Miranda do Douro,37
407,1180407,Mirandela,35
408,1180408,Mogadouro,35
1706,1181706,Montalegre,27
1707,1181707,Murça,1
1712,1181712,Valpaços,3
1713,1181713,Vila Pouca de Aguiar,106
411,1180411,Vimioso,2
412,1180412,Vinhais,73
101,1610101,Águeda,2
102,1610102,Albergaria-a-Velha,4
103,1610103,Anadia,2
105,1610105,Aveiro,37
108,1610108,Estarreja,27
110,1610110,Ílhavo,1
111,1610111,Mealhada,1
112,1610112,Murtosa,2
114,1610114,Oliveira do Bairro,2
115,1610115,Ovar,6
117,1610117,Sever do Vouga,71
118,1610118,Vagos,0
602,1620602,Cantanhede,9
603,1620603,Coimbra,18
604,1620604,Condeixa-a-Nova,24
605,1620605,Figueira da Foz,12
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,59
613,1620613,Penacova,18
615,1620615,Soure,16
1004,1631004,Batalha,1
1009,1631009,Leiria,56
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,43
1016,1631016,Porto de Mós,28
1002,1641002,Alvaiázere,12
1003,1641003,Ansião,113
601,1640601,Arganil,86
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,2
606,1640606,Góis,4
607,1640607,Lousã,9
609,1640609,Miranda do Corvo,18
611,1640611,Oliveira do Hospital,371
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,76
616,1640616,Tábua,167
617,1640617,Vila Nova de Poiares,15
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,73
1803,1651803,Castro Daire,4
1806,1651806,Mangualde,198
1808,1651808,Mortágua,13
1809,1651809,Nelas,38
1810,1651810,Oliveira de Frades,89
1811,1651811,Penalva do Castelo,8
1814,1651814,Santa Comba Dão,140
1816,1651816,São Pedro do Sul,106
1817,1651817,Sátão,12
1821,1651821,Tondela,15
1822,1651822,Vila Nova de Paiva,2
1823,1651823,Viseu,29
1824,1651824,Vouzela,14
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,4
509,1660509,Sertã,4
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,3
906,1670906,Gouveia,92
912,1670912,Seia,16
902,1680902,Almeida,13
903,1680903,Celorico da Beira,90
904,1680904,Figueira de Castelo Rodrigo,23
907,1680907,Guarda,555
908,1680908,Manteigas,0
909,1680909,Meda,19
910,1680910,Pinhel,26
911,1680911,Sabugal,115
913,1680913,Trancoso,79
502,1690502,Castelo Branco,309
505,1690505,Idanha-a-Nova,2160
507,1690507,Penamacor,74
511,1690511,Vila Velha de Ródão,93
501,16A0501,Belmonte,73
503,16A0503,Covilhã,63
504,16A0504,Fundão,277
1001,16B1001,Alcobaça,52
1101,16B1101,Alenquer,92
1102,16B1102,Arruda dos Vinhos,37
1005,16B1005,Bombarral,0
1104,16B1104,Cadaval,3
1006,16B1006,Caldas da Rainha,62
1108,16B1108,Lourinhã,49
1011,16B1011,Nazaré,14
1012,16B1012,Óbidos,7
1014,16B1014,Peniche,6
1112,16B1112,Sobral de Monte Agraço,11
1113,16B1113,Torres Vedras,163
1401,16C1401,Abrantes,286
1402,16C1402,Alcanena,61
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,19
1421,16C1421,Ourém,16
1417,16C1417,Sardoal,38
1418,16C1418,Tomar,114
1419,16C1419,Torres Novas,245
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,2
1106,1711106,Lisboa,3
1107,1711107,Loures,43
1109,1711109,Mafra,218
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,245
1114,1711114,Vila Franca de Xira,211
1502,1721502,Alcochete,145
1503,1721503,Almada,1
1504,1721504,Barreiro,4
1506,1721506,Moita,7
1507,1721507,Montijo,34
1508,1721508,Palmela,299
1510,1721510,Seixal,0
1511,1721511,Sesimbra,161
1512,1721512,Setúbal,42
1501,1811501,Alcácer do Sal,196
1505,1811505,Grândola,0
211,1810211,Odemira,457
1509,1811509,Santiago do Cacém,197
1513,1811513,Sines,12
1201,1821201,Alter do Chão,652
1202,1821202,Arronches,7
1203,1821203,Avis,421
1204,1821204,Campo Maior,95
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,88
1207,1821207,Elvas,80
1208,1821208,Fronteira,794
1209,1821209,Gavião,0
1210,1821210,Marvão,1
1211,1821211,Monforte,77
707,1820707,Mora,225
1212,1821212,Nisa,41
1213,1821213,Ponte de Sor,658
1214,1821214,Portalegre,54
701,1830701,Alandroal,59
702,1830702,Arraiolos,530
703,1830703,Borba,16
704,1830704,Estremoz,264
705,1830705,Évora,2040
706,1830706,Montemor-o-Novo,471
708,1830708,Mourão,0
709,1830709,Portel,246
710,1830710,Redondo,9
711,1830711,Reguengos de Monsaraz,28
1215,1831215,Sousel,74
712,1830712,Vendas Novas,550
713,1830713,Viana do Alentejo,175
714,1830714,Vila Viçosa,78
201,1840201,Aljustrel,151
202,1840202,Almodôvar,65
203,1840203,Alvito,67
204,1840204,Barrancos,0
205,1840205,Beja,935
206,1840206,Castro Verde,88
207,1840207,Cuba,169
208,1840208,Ferreira do Alentejo,224
209,1840209,Mértola,466
210,1840210,Moura,149
212,1840212,Ourique,252
213,1840213,Serpa,23
214,1840214,Vidigueira,193
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,61
1405,1851405,Benavente,797
1406,1851406,Cartaxo,27
1407,1851407,Chamusca,746
1409,1851409,Coruche,689
1412,1851412,Golegã,230
1414,1851414,Rio Maior,203
1415,1851415,Salvaterra de Magos,0
1416,1851416,Santarém,151
801,1500801,Albufeira,0
802,1500802,Alcoutim,0
803,1500803,Aljezur,1
804,1500804,Castro Marim,0
805,1500805,Faro,0
806,1500806,Lagoa,0
807,1500807,Lagos,3
808,1500808,Loulé,7
809,1500809,Monchique,14
810,1500810,Olhão,0
811,1500811,Portimão,0
812,1500812,São Brás de Alportel,0
813,1500813,Silves,33
814,1500814,Tavira,0
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
