Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses,total
1601,1111601,Arcos de Valdevez,0,423920,49037,5315,94,315,22026,500707
1602,1111602,Caminha,0,15674,11063,417,616,119,3062,30951
1603,1111603,Melgaço,0,105326,39377,1758,53,349,7471,154334
1604,1111604,Monção,0,174422,83498,1252,239,521,4866,264798
1605,1111605,Paredes de Coura,0,70098,45579,1309,29,256,2482,119753
1606,1111606,Ponte da Barca,0,129057,9275,4757,34,116,4990,148229
1607,1111607,Ponte de Lima,0,180161,34448,3907,245,801,5342,224904
1608,1111608,Valença,0,39066,28135,626,169,338,1778,70112
1609,1111609,Viana do Castelo,0,119898,14918,2112,1238,562,4453,143181
1610,1111610,Vila Nova de Cerveira,0,22043,11044,376,18,88,986,34555
301,1120301,Amares,0,80276,5624,469,792,1415,2077,90653
302,1120302,Barcelos,0,477091,9920,861,615,832,3661,492980
303,1120303,Braga,0,204884,10361,522,140,381,1681,217969
306,1120306,Esposende,0,74991,1993,130,150,224,194,77682
310,1120310,Terras de Bouro,0,113136,7866,5320,33,194,6574,133123
313,1120313,Vila Verde,0,306469,27433,2780,159,680,4506,342027
307,1130307,Fafe,0,223558,24099,1116,114,384,1118,250389
308,1130308,Guimarães,0,184703,4805,308,3821,972,2869,197478
309,1130309,Póvoa de Lanhoso,0,126128,10603,3062,242,255,2306,142596
1314,1131314,Santo Tirso,0,64187,7723,193,206,393,634,73336
1318,1131318,Trofa,0,53559,2421,26,1018,304,933,58261
311,1130311,Vieira do Minho,0,180955,17761,1685,50,433,6767,207651
312,1130312,Vila Nova de Famalicão,0,222862,4544,835,263,468,2138,231110
314,1130314,Vizela,0,10678,788,115,15,53,246,11895
107,1140107,Espinho,0,410,124,0,3,11,0,548
1304,1141304,Gondomar,0,20562,16942,282,133,244,422,38585
1306,1141306,Maia,0,63609,2601,162,117,100,898,67487
1308,1141308,Matosinhos,0,58180,2154,78,23,92,678,61205
1312,1141312,Porto,0,0,0,0,0,0,0,0
1313,1141313,Póvoa de Varzim,0,139545,1341,136,100,3968,1936,147026
1315,1141315,Valongo,0,22062,3613,104,26,141,352,26298
1316,1141316,Vila do Conde,0,291518,4209,235,204,590,1426,298182
1317,1141317,Vila Nova de Gaia,0,20617,9560,42,44,234,1320,31817
1301,1151301,Amarante,0,91122,25124,1419,111,3723,2728,124227
1302,1151302,Baião,0,49142,31326,1215,62,565,1311,83621
304,1150304,Cabeceiras de Basto,0,198766,28662,4616,70,395,2182,234691
106,1150106,Castelo de Paiva,0,24833,17420,511,55,337,642,43798
305,1150305,Celorico de Basto,0,164993,12137,2655,220,1890,1109,183004
1804,1151804,Cinfães,0,192007,35659,3192,51,475,704,232088
1303,1151303,Felgueiras,0,76396,1751,1716,140,2089,2798,84890
1305,1151305,Lousada,0,58896,5091,579,68,449,2279,67362
1307,1151307,Marco de Canaveses,0,74772,40259,2305,83,658,1373,119450
1705,1151705,Mondim de Basto,0,104920,1862,6583,25,355,634,114379
1309,1151309,Paços de Ferreira,0,26493,9629,104,90,191,238,36745
1310,1151310,Paredes,0,47941,16346,1142,81,432,1575,67517
1311,1151311,Penafiel,0,72235,15843,944,98,821,2402,92343
