"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",228.63
1602,"1111602","Caminha",27.44
1603,"1111603","Melgaço",32.01
1604,"1111604","Monção",137.18
1605,"1111605","Paredes de Coura",50.3
1606,"1111606","Ponte da Barca",128.03
1607,"1111607","Ponte de Lima",315.51
1608,"1111608","Valença",22.86
1609,"1111609","Viana do Castelo",96.02
1610,"1111610","Vila Nova de Cerveira",36.58
301,"1120301","Amares",27.44
302,"1120302","Barcelos",68.59
303,"1120303","Braga",18.29
306,"1120306","Esposende",32.01
310,"1120310","Terras de Bouro",77.73
313,"1120313","Vila Verde",214.91
307,"1130307","Fafe",256.06
308,"1130308","Guimarães",73.16
309,"1130309","Póvoa de Lanhoso",77.73
1314,"1131314","Santo Tirso",36.58
1318,"1131318","Trofa",4.57
311,"1130311","Vieira do Minho",137.18
312,"1130312","Vila Nova de Famalicão",13.72
314,"1130314","Vizela",0
107,"1140107","Espinho",9.15
1304,"1141304","Gondomar",32.01
1306,"1141306","Maia",4.57
1308,"1141308","Matosinhos",0
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",18.29
1315,"1141315","Valongo",4.57
1316,"1141316","Vila do Conde",4.57
1317,"1141317","Vila Nova de Gaia",45.73
1301,"1151301","Amarante",534.99
1302,"1151302","Baião",466.4
304,"1150304","Cabeceiras de Basto",77.73
106,"1150106","Castelo de Paiva",173.76
305,"1150305","Celorico de Basto",352.09
1804,"1151804","Cinfães",114.31
1303,"1151303","Felgueiras",91.45
1305,"1151305","Lousada",50.3
1307,"1151307","Marco de Canaveses",443.54
1705,"1151705","Mondim de Basto",187.47
1309,"1151309","Paços de Ferreira",50.3
1310,"1151310","Paredes",54.87
1311,"1151311","Penafiel",32.01
1813,"1151813","Resende",41.15
1709,"1151709","Ribeira de Pena",59.44
104,"1160104","Arouca",36.58
113,"1160113","Oliveira de Azeméis",9.15
109,"1160109","Santa Maria da Feira",91.45
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",96.02
1701,"1171701","Alijó",21.44
1801,"1171801","Armamar",7.15
403,"1170403","Carrazeda de Ansiães",28.58
404,"1170404","Freixo de Espada à Cinta",7.15
1805,"1171805","Lamego",35.73
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",28.58
1812,"1171812","Penedono",7.15
1708,"1171708","Peso da Régua",14.29
1710,"1171710","Sabrosa",7.15
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",0
1818,"1171818","Sernancelhe",114.32
1819,"1171819","Tabuaço",78.6
