"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",45275.51
1602,"1111602","Caminha",2673.99
1603,"1111603","Melgaço",5854.42
1604,"1111604","Monção",10999.82
1605,"1111605","Paredes de Coura",14612.41
1606,"1111606","Ponte da Barca",10338.08
1607,"1111607","Ponte de Lima",30777.9
1608,"1111608","Valença",4260.83
1609,"1111609","Viana do Castelo",23046.28
1610,"1111610","Vila Nova de Cerveira",3018.37
301,"1120301","Amares",7724.86
302,"1120302","Barcelos",171142.11
303,"1120303","Braga",35849.02
306,"1120306","Esposende",20176.47
310,"1120310","Terras de Bouro",8845.77
313,"1120313","Vila Verde",25139.56
307,"1130307","Fafe",15733.33
308,"1130308","Guimarães",26706.14
309,"1130309","Póvoa de Lanhoso",11404.97
1314,"1131314","Santo Tirso",11600.8
1318,"1131318","Trofa",23147.57
311,"1130311","Vieira do Minho",17124.34
312,"1130312","Vila Nova de Famalicão",60819.77
314,"1130314","Vizela",1235.71
107,"1140107","Espinho",1188.44
1304,"1141304","Gondomar",5928.69
1306,"1141306","Maia",20858.47
1308,"1141308","Matosinhos",15962.91
1312,"1141312","Porto",337.62
1313,"1141313","Póvoa de Varzim",54411.64
1315,"1141315","Valongo",6043.49
1316,"1141316","Vila do Conde",110781.51
1317,"1141317","Vila Nova de Gaia",3315.48
1301,"1151301","Amarante",8643.2
1302,"1151302","Baião",4780.77
304,"1150304","Cabeceiras de Basto",20601.88
106,"1150106","Castelo de Paiva",4564.69
305,"1150305","Celorico de Basto",13640.05
1804,"1151804","Cinfães",14349.06
1303,"1151303","Felgueiras",14409.84
1305,"1151305","Lousada",13315.93
1307,"1151307","Marco de Canaveses",4848.3
1705,"1151705","Mondim de Basto",9514.27
1309,"1151309","Paços de Ferreira",6293.33
1310,"1151310","Paredes",9973.44
1311,"1151311","Penafiel",9453.5
1813,"1151813","Resende",3153.42
1709,"1151709","Ribeira de Pena",19136.58
104,"1160104","Arouca",23863.34
113,"1160113","Oliveira de Azeméis",21817.33
109,"1160109","Santa Maria da Feira",9858.65
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",6820.03
1701,"1171701","Alijó",2538.94
1801,"1171801","Armamar",67.53
403,"1170403","Carrazeda de Ansiães",1289.73
404,"1170404","Freixo de Espada à Cinta",749.53
1805,"1171805","Lamego",1201.95
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",7988.21
1812,"1171812","Penedono",1026.38
1708,"1171708","Peso da Régua",47.27
