"Muni_ID","ID","Muni","almonds","chestnut","locust","nuuts","other_dried_nuts","total_dried_fruits"
1601,"1111601","Arcos de Valdevez",0,65.64,0,27.93,0,93.57
1602,"1111602","Caminha",0,0,0,83.79,0,83.79
1603,"1111603","Melgaço",0,0,0,0,0,0
1604,"1111604","Monção",0,6.91,0,0,0,6.91
1605,"1111605","Paredes de Coura",0,10.36,0,0,0,10.36
1606,"1111606","Ponte da Barca",0,34.55,0,139.64,0,174.19
1607,"1111607","Ponte de Lima",0,414.54,0,139.64,0,554.18
1608,"1111608","Valença",0,3.45,0,27.93,0,31.38
1609,"1111609","Viana do Castelo",0,41.45,0,83.79,0,125.24
1610,"1111610","Vila Nova de Cerveira",0,3.45,0,0,0,3.45
301,"1120301","Amares",0,27.64,0,139.64,0,167.28
302,"1120302","Barcelos",0,48.36,0,111.72,0,160.08
303,"1120303","Braga",0,27.64,0,474.79,0,502.43
306,"1120306","Esposende",0,3.45,0,0,0,3.45
310,"1120310","Terras de Bouro",0,3.45,0,0,0,3.45
313,"1120313","Vila Verde",0,82.91,0,167.57,0,250.48
307,"1130307","Fafe",0,3.45,0,55.86,0,59.31
308,"1130308","Guimarães",0,20.73,0,586.51,0,607.24
309,"1130309","Póvoa de Lanhoso",0,10.36,0,223.43,0,233.79
1314,"1131314","Santo Tirso",0,41.45,0,223.43,84.55,349.43
1318,"1131318","Trofa",0,3.45,0,0,0,3.45
311,"1130311","Vieira do Minho",0,13.82,0,83.79,0,97.61
312,"1130312","Vila Nova de Famalicão",0,10.36,0,111.72,0,122.08
314,"1130314","Vizela",0,10.36,0,27.93,28.18,66.47
107,"1140107","Espinho",0,0,0,0,0,0
1304,"1141304","Gondomar",0,41.45,0,167.57,0,209.02
1306,"1141306","Maia",0,3.45,0,27.93,0,31.38
1308,"1141308","Matosinhos",0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0
1315,"1141315","Valongo",0,3.45,0,27.93,0,31.38
1316,"1141316","Vila do Conde",0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",0,20.73,0,55.86,0,76.59
1301,"1151301","Amarante",0,145.09,0,363.07,28.18,536.34
1302,"1151302","Baião",0,165.82,0,502.72,112.74,781.28
304,"1150304","Cabeceiras de Basto",0,13.82,0,83.79,0,97.61
106,"1150106","Castelo de Paiva",0,31.09,0,55.86,56.37,143.32
305,"1150305","Celorico de Basto",0,44.91,0,279.29,56.37,380.57
1804,"1151804","Cinfães",0,138.18,0,83.79,0,221.97
1303,"1151303","Felgueiras",0,10.36,0,167.57,0,177.93
1305,"1151305","Lousada",0,17.27,0,55.86,0,73.13
1307,"1151307","Marco de Canaveses",0,44.91,0,83.79,366.4,495.1
1705,"1151705","Mondim de Basto",0,13.82,0,111.72,0,125.54
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0
1310,"1151310","Paredes",0,10.36,0,27.93,0,38.29
1311,"1151311","Penafiel",0,51.82,0,27.93,112.74,192.49
