"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",35.68
1602,"1111602","Caminha",0
1603,"1111603","Melga�o",0
1604,"1111604","Mon��o",7.14
1605,"1111605","Paredes de Coura",7.14
1606,"1111606","Ponte da Barca",85.63
1607,"1111607","Ponte de Lima",142.71
1608,"1111608","Valen�a",42.81
1609,"1111609","Viana do Castelo",135.57
1610,"1111610","Vila Nova de Cerveira",7.14
301,"1120301","Amares",85.63
302,"1120302","Barcelos",435.27
303,"1120303","Braga",171.25
306,"1120306","Esposende",1962.26
310,"1120310","Terras de Bouro",21.41
313,"1120313","Vila Verde",149.85
307,"1130307","Fafe",49.95
308,"1130308","Guimar�es",1077.46
309,"1130309","P�voa de Lanhoso",21.41
1314,"1131314","Santo Tirso",349.64
1318,"1131318","Trofa",285.42
311,"1130311","Vieira do Minho",7.14
312,"1130312","Vila Nova de Famalic�o",406.72
314,"1130314","Vizela",64.22
107,"1140107","Espinho",21.41
1304,"1141304","Gondomar",1184.49
1306,"1141306","Maia",570.84
1308,"1141308","Matosinhos",356.77
1312,"1141312","Porto",14.27
1313,"1141313","P�voa de Varzim",3560.61
1315,"1141315","Valongo",121.3
1316,"1141316","Vila do Conde",478.08
1317,"1141317","Vila Nova de Gaia",920.48
1301,"1151301","Amarante",99.9
1302,"1151302","Bai�o",28.54
304,"1150304","Cabeceiras de Basto",7.14
106,"1150106","Castelo de Paiva",14.27
305,"1150305","Celorico de Basto",7.14
1804,"1151804","Cinf�es",21.41
1303,"1151303","Felgueiras",78.49
1305,"1151305","Lousada",42.81
1307,"1151307","Marco de Canaveses",28.54
1705,"1151705","Mondim de Basto",7.14
1309,"1151309","Pa�os de Ferreira",49.95
1310,"1151310","Paredes",42.81
1311,"1151311","Penafiel",335.37
1813,"1151813","Resende",14.27
1709,"1151709","Ribeira de Pena",0
104,"1160104","Arouca",42.81
113,"1160113","Oliveira de Azem�is",71.36
109,"1160109","Santa Maria da Feira",28.54
116,"1160116","S�o Jo�o da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alij�",21.41
1801,"1171801","Armamar",0
403,"1170403","Carrazeda de Ansi�es",0
404,"1170404","Freixo de Espada � Cinta",0
1805,"1171805","Lamego",92.76
1704,"1171704","Mes�o Frio",0
1807,"1171807","Moimenta da Beira",14.27
1812,"1171812","Penedono",0
1708,"1171708","Peso da R�gua",0
1710,"1171710","Sabrosa",35.68
1711,"1171711","Santa Marta de Penagui�o",0
1815,"1171815","S�o Jo�o da Pesqueira",7.14
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabua�o",14.27
1820,"1171820","Tarouca",7.14
409,"1170409","Torre de Moncorvo",49.95
410,"1170410","Vila Flor",185.52
914,"1170914","Vila Nova de Foz C�a",7.14
1714,"1171714","Vila Real",78.49
401,"1180401","Alf�ndega da F�",7.14
1702,"1181702","Boticas",0
402,"1180402","Bragan�a",35.68
1703,"1181703","Chaves",256.88
405,"1180405","Macedo de Cavaleiros",85.63
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",313.96
408,"1180408","Mogadouro",7.14
1706,"1181706","Montalegre",7.14
1707,"1181707","Mur�a",21.41
1712,"1181712","Valpa�os",35.68
1713,"1181713","Vila Pouca de Aguiar",142.71
411,"1180411","Vimioso",7.14
412,"1180412","Vinhais",0
101,"1610101","�gueda",78.49
102,"1610102","Albergaria-a-Velha",35.68
103,"1610103","Anadia",156.98
105,"1610105","Aveiro",2276.22
108,"1610108","Estarreja",35.68
110,"1610110","�lhavo",135.57
111,"1610111","Mealhada",114.17
112,"1610112","Murtosa",413.86
114,"1610114","Oliveira do Bairro",285.42
115,"1610115","Ovar",135.57
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",685.01
602,"1620602","Cantanhede",991.83
603,"1620603","Coimbra",1198.76
604,"1620604","Condeixa-a-Nova",214.06
605,"1620605","Figueira da Foz",185.52
608,"1620608","Mira",463.81
610,"1620610","Montemor-o-Velho",535.16
613,"1620613","Penacova",28.54
615,"1620615","Soure",428.13
1004,"1631004","Batalha",206.93
1009,"1631009","Leiria",1070.32
1010,"1631010","Marinha Grande",21.41
1015,"1631015","Pombal",420.99
1016,"1631016","Porto de M�s",114.17
1002,"1641002","Alvai�zere",0
1003,"1641003","Ansi�o",7.14
601,"1640601","Arganil",7.14
1007,"1641007","Castanheira de P�ra",0
1008,"1641008","Figueir� dos Vinhos",0
606,"1640606","G�is",0
607,"1640607","Lous�",49.95
609,"1640609","Miranda do Corvo",64.22
611,"1640611","Oliveira do Hospital",14.27
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedr�g�o Grande",0
614,"1640614","Penela",0
616,"1640616","T�bua",14.27
617,"1640617","Vila Nova de Poiares",14.27
901,"1650901","Aguiar da Beira",7.14
1802,"1651802","Carregal do Sal",35.68
1803,"1651803","Castro Daire",0
1806,"1651806","Mangualde",57.08
1808,"1651808","Mort�gua",0
1809,"1651809","Nelas",35.68
1810,"1651810","Oliveira de Frades",0
1811,"1651811","Penalva do Castelo",7.14
1814,"1651814","Santa Comba D�o",71.36
1816,"1651816","S�o Pedro do Sul",221.2
1817,"1651817","S�t�o",64.22
1821,"1651821","Tondela",242.61
1822,"1651822","Vila Nova de Paiva",0
1823,"1651823","Viseu",107.03
1824,"1651824","Vouzela",21.41
1413,"1661413","Ma��o",7.14
506,"1660506","Oleiros",0
508,"1660508","Proen�a-a-Nova",0
509,"1660509","Sert�",0
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",0
906,"1670906","Gouveia",306.83
912,"1670912","Seia",149.85
902,"1680902","Almeida",0
903,"1680903","Celorico da Beira",14.27
904,"1680904","Figueira de Castelo Rodrigo",7.14
907,"1680907","Guarda",14.27
908,"1680908","Manteigas",7.14
909,"1680909","M�da",7.14
910,"1680910","Pinhel",14.27
911,"1680911","Sabugal",7.14
913,"1680913","Trancoso",0
502,"1690502","Castelo Branco",21.41
505,"1690505","Idanha-a-Nova",14.27
507,"1690507","Penamacor",0
511,"1690511","Vila Velha de R�d�o",0
501,"16A0501","Belmonte",21.41
503,"16A0503","Covilh�",35.68
