"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",63270
1602,"1111602","Caminha",5220
1603,"1111603","Melgaço",7950
1604,"1111604","Monção",32940
1605,"1111605","Paredes de Coura",46770
1606,"1111606","Ponte da Barca",13830
1607,"1111607","Ponte de Lima",20130
1608,"1111608","Valença",10860
1609,"1111609","Viana do Castelo",11970
1610,"1111610","Vila Nova de Cerveira",6660
301,"1120301","Amares",8520
302,"1120302","Barcelos",6540
303,"1120303","Braga",5220
306,"1120306","Esposende",1650
310,"1120310","Terras de Bouro",35250
313,"1120313","Vila Verde",54600
307,"1130307","Fafe",41910
308,"1130308","Guimarães",4830
309,"1130309","Póvoa de Lanhoso",11160
1314,"1131314","Santo Tirso",7740
1318,"1131318","Trofa",2100
311,"1130311","Vieira do Minho",13500
312,"1130312","Vila Nova de Famalicão",5220
314,"1130314","Vizela",0
107,"1140107","Espinho",0
1304,"1141304","Gondomar",960
1306,"1141306","Maia",2250
1308,"1141308","Matosinhos",3900
1312,"1141312","Porto",420
1313,"1141313","Póvoa de Varzim",210
1315,"1141315","Valongo",150
1316,"1141316","Vila do Conde",360
1317,"1141317","Vila Nova de Gaia",870
1301,"1151301","Amarante",10260
1302,"1151302","Baião",19530
304,"1150304","Cabeceiras de Basto",31170
106,"1150106","Castelo de Paiva",1890
305,"1150305","Celorico de Basto",7830
1804,"1151804","Cinfães",780
1303,"1151303","Felgueiras",960
1305,"1151305","Lousada",150
1307,"1151307","Marco de Canaveses",4260
1705,"1151705","Mondim de Basto",3780
1309,"1151309","Paços de Ferreira",3570
1310,"1151310","Paredes",960
1311,"1151311","Penafiel",570
1813,"1151813","Resende",1230
1709,"1151709","Ribeira de Pena",6210
104,"1160104","Arouca",11520
113,"1160113","Oliveira de Azeméis",360
109,"1160109","Santa Maria da Feira",360
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",210
1701,"1171701","Alijó",90
1801,"1171801","Armamar",150
403,"1170403","Carrazeda de Ansiães",210
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",780
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",360
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",0
1710,"1171710","Sabrosa",90
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",0
1818,"1171818","Sernancelhe",570
1819,"1171819","Tabuaço",90
1820,"1171820","Tarouca",420
409,"1170409","Torre de Moncorvo",1740
410,"1170410","Vila Flor",360
914,"1170914","Vila Nova de Foz Côa",660
1714,"1171714","Vila Real",7380
401,"1180401","Alfândega da Fé",10710
1702,"1181702","Boticas",0
402,"1180402","Bragança",13170
1703,"1181703","Chaves",6780
405,"1180405","Macedo de Cavaleiros",15150
406,"1180406","Miranda do Douro",2700
407,"1180407","Mirandela",2520
408,"1180408","Mogadouro",2520
1706,"1181706","Montalegre",1950
1707,"1181707","Murça",90
1712,"1181712","Valpaços",210
1713,"1181713","Vila Pouca de Aguiar",7680
411,"1180411","Vimioso",150
412,"1180412","Vinhais",5280
101,"1610101","Águeda",150
102,"1610102","Albergaria-a-Velha",300
103,"1610103","Anadia",150
105,"1610105","Aveiro",2700
108,"1610108","Estarreja",1950
110,"1610110","Ílhavo",90
111,"1610111","Mealhada",90
112,"1610112","Murtosa",150
114,"1610114","Oliveira do Bairro",150
115,"1610115","Ovar",420
117,"1610117","Sever do Vouga",5130
118,"1610118","Vagos",0
602,"1620602","Cantanhede",660
603,"1620603","Coimbra",1320
604,"1620604","Condeixa-a-Nova",1740
605,"1620605","Figueira da Foz",870
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",4260
613,"1620613","Penacova",1320
615,"1620615","Soure",1170
1004,"1631004","Batalha",90
1009,"1631009","Leiria",4050
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",3120
1016,"1631016","Porto de Mós",2040
1002,"1641002","Alvaiázere",870
1003,"1641003","Ansião",8190
601,"1640601","Arganil",6210
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",150
606,"1640606","Góis",300
607,"1640607","Lousã",660
609,"1640609","Miranda do Corvo",1320
611,"1640611","Oliveira do Hospital",26850
612,"1640612","Pampilhosa da Serra",90
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",5490
616,"1640616","Tábua",12090
617,"1640617","Vila Nova de Poiares",1080
901,"1650901","Aguiar da Beira",0
1802,"1651802","Carregal do Sal",5280
1803,"1651803","Castro Daire",300
1806,"1651806","Mangualde",14310
1808,"1651808","Mortágua",960
1809,"1651809","Nelas",2730
1810,"1651810","Oliveira de Frades",6450
1811,"1651811","Penalva do Castelo",570
1814,"1651814","Santa Comba Dão",10140
1816,"1651816","São Pedro do Sul",7680
1817,"1651817","Sátão",870
1821,"1651821","Tondela",1080
