"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",396
1602,"1111602","Caminha",130.5
1603,"1111603","Melgaço",20.5
1604,"1111604","Monção",170
1605,"1111605","Paredes de Coura",203.5
1606,"1111606","Ponte da Barca",174
1607,"1111607","Ponte de Lima",1185.5
1608,"1111608","Valença",132.5
1609,"1111609","Viana do Castelo",730
1610,"1111610","Vila Nova de Cerveira",97
301,"1120301","Amares",170
302,"1120302","Barcelos",3778.5
303,"1120303","Braga",1070
306,"1120306","Esposende",648.5
310,"1120310","Terras de Bouro",84.5
313,"1120313","Vila Verde",601.5
307,"1130307","Fafe",584
308,"1130308","Guimarães",860
309,"1130309","Póvoa de Lanhoso",374.5
1314,"1131314","Santo Tirso",347.5
1318,"1131318","Trofa",620
311,"1130311","Vieira do Minho",170.5
312,"1130312","Vila Nova de Famalicão",1494.5
314,"1130314","Vizela",88
107,"1140107","Espinho",1.5
1304,"1141304","Gondomar",118
1306,"1141306","Maia",453
1308,"1141308","Matosinhos",328
1312,"1141312","Porto",6.5
1313,"1141313","Póvoa de Varzim",1129
1315,"1141315","Valongo",123
1316,"1141316","Vila do Conde",2111.5
1317,"1141317","Vila Nova de Gaia",108.5
1301,"1151301","Amarante",391.5
1302,"1151302","Baião",281
304,"1150304","Cabeceiras de Basto",110.5
106,"1150106","Castelo de Paiva",117.5
305,"1150305","Celorico de Basto",705.5
1804,"1151804","Cinfães",335
1303,"1151303","Felgueiras",393
1305,"1151305","Lousada",258
1307,"1151307","Marco de Canaveses",287.5
1705,"1151705","Mondim de Basto",146
1309,"1151309","Paços de Ferreira",207.5
1310,"1151310","Paredes",348
1311,"1151311","Penafiel",307
1813,"1151813","Resende",76.5
1709,"1151709","Ribeira de Pena",176.5
104,"1160104","Arouca",401.5
113,"1160113","Oliveira de Azeméis",443.5
109,"1160109","Santa Maria da Feira",226
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",162.5
1701,"1171701","Alijó",20.5
1801,"1171801","Armamar",2
403,"1170403","Carrazeda de Ansiães",140.5
404,"1170404","Freixo de Espada à Cinta",53.5
1805,"1171805","Lamego",32.5
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",404.5
1812,"1171812","Penedono",83.5
1708,"1171708","Peso da Régua",1
1710,"1171710","Sabrosa",7
1711,"1171711","Santa Marta de Penaguião",0.5
1815,"1171815","São João da Pesqueira",155
1818,"1171818","Sernancelhe",342.5
1819,"1171819","Tabuaço",13
1820,"1171820","Tarouca",30.5
409,"1170409","Torre de Moncorvo",41
410,"1170410","Vila Flor",41.5
914,"1170914","Vila Nova de Foz Côa",23.5
1714,"1171714","Vila Real",185
401,"1180401","Alfândega da Fé",12.5
1702,"1181702","Boticas",248
402,"1180402","Bragança",825
1703,"1181703","Chaves",671.5
405,"1180405","Macedo de Cavaleiros",324
406,"1180406","Miranda do Douro",262.5
407,"1180407","Mirandela",202
408,"1180408","Mogadouro",646
1706,"1181706","Montalegre",991.5
1707,"1181707","Murça",91
1712,"1181712","Valpaços",496
1713,"1181713","Vila Pouca de Aguiar",692
411,"1180411","Vimioso",289
412,"1180412","Vinhais",468.5
101,"1610101","Águeda",268
102,"1610102","Albergaria-a-Velha",426.5
103,"1610103","Anadia",43.5
105,"1610105","Aveiro",129.5
108,"1610108","Estarreja",670.5
110,"1610110","Ílhavo",29
111,"1610111","Mealhada",54
112,"1610112","Murtosa",363
114,"1610114","Oliveira do Bairro",102.5
115,"1610115","Ovar",345.5
117,"1610117","Sever do Vouga",95.5
118,"1610118","Vagos",257.5
602,"1620602","Cantanhede",189
603,"1620603","Coimbra",31.5
604,"1620604","Condeixa-a-Nova",36.5
605,"1620605","Figueira da Foz",64.5
608,"1620608","Mira",53
610,"1620610","Montemor-o-Velho",216.5
613,"1620613","Penacova",38.5
615,"1620615","Soure",41
1004,"1631004","Batalha",21
1009,"1631009","Leiria",344
1010,"1631010","Marinha Grande",8.5
1015,"1631015","Pombal",151.5
1016,"1631016","Porto de Mós",28.5
1002,"1641002","Alvaiázere",7.5
1003,"1641003","Ansião",5.5
601,"1640601","Arganil",27.5
1007,"1641007","Castanheira de Pêra",3
1008,"1641008","Figueiró dos Vinhos",11.5
606,"1640606","Góis",0.5
607,"1640607","Lousã",6
609,"1640609","Miranda do Corvo",6.5
611,"1640611","Oliveira do Hospital",95.5
612,"1640612","Pampilhosa da Serra",1
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",32
616,"1640616","Tábua",65
617,"1640617","Vila Nova de Poiares",14.5
901,"1650901","Aguiar da Beira",551
1802,"1651802","Carregal do Sal",18
1803,"1651803","Castro Daire",347.5
1806,"1651806","Mangualde",193
1808,"1651808","Mortágua",134
1809,"1651809","Nelas",23
1810,"1651810","Oliveira de Frades",305.5
1811,"1651811","Penalva do Castelo",66
1814,"1651814","Santa Comba Dão",21.5
1816,"1651816","São Pedro do Sul",456
1817,"1651817","Sátão",370.5
1821,"1651821","Tondela",300
1822,"1651822","Vila Nova de Paiva",158.5
1823,"1651823","Viseu",278
1824,"1651824","Vouzela",350.5
1413,"1661413","Mação",19
506,"1660506","Oleiros",30
508,"1660508","Proença-a-Nova",45
509,"1660509","Sertã",25.5
510,"1660510","Vila de Rei",6
905,"1670905","Fornos de Algodres",93.5
906,"1670906","Gouveia",228
912,"1670912","Seia",385.5
902,"1680902","Almeida",850
903,"1680903","Celorico da Beira",602
904,"1680904","Figueira de Castelo Rodrigo",372
907,"1680907","Guarda",795.5
908,"1680908","Manteigas",38
909,"1680909","Mêda",153.5
910,"1680910","Pinhel",595.5
911,"1680911","Sabugal",859
913,"1680913","Trancoso",420.5
502,"1690502","Castelo Branco",1336
505,"1690505","Idanha-a-Nova",1620.5
507,"1690507","Penamacor",303
511,"1690511","Vila Velha de Ródão",142
501,"16A0501","Belmonte",275.5
503,"16A0503","Covilhã",331
504,"16A0504","Fundão",1005.5
1001,"16B1001","Alcobaça",83.5
1101,"16B1101","Alenquer",107.5
1102,"16B1102","Arruda dos Vinhos",36.5
1005,"16B1005","Bombarral",8.5
1104,"16B1104","Cadaval",22.5
1006,"16B1006","Caldas da Rainha",80.5
