"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",118797
1602,"1111602","Caminha",92017
1603,"1111603","Melgaço",45589
1604,"1111604","Monção",89704
1605,"1111605","Paredes de Coura",107941
1606,"1111606","Ponte da Barca",134914
1607,"1111607","Ponte de Lima",299438
1608,"1111608","Valença",58186
1609,"1111609","Viana do Castelo",191682
1610,"1111610","Vila Nova de Cerveira",17488
301,"1120301","Amares",310565
302,"1120302","Barcelos",306430
303,"1120303","Braga",129923
306,"1120306","Esposende",76871
310,"1120310","Terras de Bouro",78770
313,"1120313","Vila Verde",177708
307,"1130307","Fafe",384261
308,"1130308","Guimarães",244230
309,"1130309","Póvoa de Lanhoso",71564
1314,"1131314","Santo Tirso",50706
1318,"1131318","Trofa",137061
311,"1130311","Vieira do Minho",62833
312,"1130312","Vila Nova de Famalicão",232925
314,"1130314","Vizela",7048
107,"1140107","Espinho",1586
1304,"1141304","Gondomar",26615
1306,"1141306","Maia",33696
1308,"1141308","Matosinhos",14399
1312,"1141312","Porto",428
1313,"1141313","Póvoa de Varzim",108708
1315,"1141315","Valongo",484523
1316,"1141316","Vila do Conde",59074
1317,"1141317","Vila Nova de Gaia",21171
1301,"1151301","Amarante",80365
1302,"1151302","Baião",53912
304,"1150304","Cabeceiras de Basto",126562
106,"1150106","Castelo de Paiva",37108
305,"1150305","Celorico de Basto",76268
1804,"1151804","Cinfães",45647
1303,"1151303","Felgueiras",171518
1305,"1151305","Lousada",41590
1307,"1151307","Marco de Canaveses",40704
1705,"1151705","Mondim de Basto",32348
1309,"1151309","Paços de Ferreira",28037
1310,"1151310","Paredes",55810
1311,"1151311","Penafiel",55817
1813,"1151813","Resende",11316
1709,"1151709","Ribeira de Pena",41170
104,"1160104","Arouca",61015
113,"1160113","Oliveira de Azeméis",108241
109,"1160109","Santa Maria da Feira",75341
116,"1160116","São João da Madeira",777
119,"1160119","Vale de Cambra",66530
1701,"1171701","Alijó",14402
1801,"1171801","Armamar",0
403,"1170403","Carrazeda de Ansiães",15756
404,"1170404","Freixo de Espada à Cinta",3863
1805,"1171805","Lamego",15891
1704,"1171704","Mesão Frio",1997
1807,"1171807","Moimenta da Beira",83808
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",5971
1710,"1171710","Sabrosa",219481
1711,"1171711","Santa Marta de Penaguião",1806
1815,"1171815","São João da Pesqueira",0
1818,"1171818","Sernancelhe",55700
1819,"1171819","Tabuaço",0
1820,"1171820","Tarouca",69038
