"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",56536
1602,"1111602","Caminha",17879
1603,"1111603","Melgaço",17317
1604,"1111604","Monção",33096
1605,"1111605","Paredes de Coura",68197
1606,"1111606","Ponte da Barca",20504
1607,"1111607","Ponte de Lima",227936
1608,"1111608","Valença",38747
1609,"1111609","Viana do Castelo",172089
1610,"1111610","Vila Nova de Cerveira",32889
301,"1120301","Amares",138177
302,"1120302","Barcelos",2226173
303,"1120303","Braga",238646
306,"1120306","Esposende",287733
310,"1120310","Terras de Bouro",11616
313,"1120313","Vila Verde",141201
307,"1130307","Fafe",41100
308,"1130308","Guimarães",183738
309,"1130309","Póvoa de Lanhoso",59891
1314,"1131314","Santo Tirso",154998
1318,"1131318","Trofa",313537
311,"1130311","Vieira do Minho",32433
312,"1130312","Vila Nova de Famalicão",933592
314,"1130314","Vizela",10804
107,"1140107","Espinho",13866
1304,"1141304","Gondomar",27922
1306,"1141306","Maia",258298
1308,"1141308","Matosinhos",211274
1312,"1141312","Porto",756
1313,"1141313","Póvoa de Varzim",955544
1315,"1141315","Valongo",58512
1316,"1141316","Vila do Conde",1853504
1317,"1141317","Vila Nova de Gaia",21629
1301,"1151301","Amarante",52628
1302,"1151302","Baião",26731
304,"1150304","Cabeceiras de Basto",39198
106,"1150106","Castelo de Paiva",21761
305,"1150305","Celorico de Basto",53597
1804,"1151804","Cinfães",34578
1303,"1151303","Felgueiras",171334
1305,"1151305","Lousada",71673
1307,"1151307","Marco de Canaveses",25336
1705,"1151705","Mondim de Basto",18433
1309,"1151309","Paços de Ferreira",62637
1310,"1151310","Paredes",62430
1311,"1151311","Penafiel",90826
1813,"1151813","Resende",18221
1709,"1151709","Ribeira de Pena",43838
104,"1160104","Arouca",200329
113,"1160113","Oliveira de Azeméis",363174
109,"1160109","Santa Maria da Feira",132235
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",46555
1701,"1171701","Alijó",14310
1801,"1171801","Armamar",4003
403,"1170403","Carrazeda de Ansiães",18713
404,"1170404","Freixo de Espada à Cinta",12077
1805,"1171805","Lamego",11055
1704,"1171704","Mesão Frio",341
1807,"1171807","Moimenta da Beira",135427
1812,"1171812","Penedono",21503
1708,"1171708","Peso da Régua",2031
1710,"1171710","Sabrosa",21066
1711,"1171711","Santa Marta de Penaguião",1288
1815,"1171815","São João da Pesqueira",6844
1818,"1171818","Sernancelhe",37418
1819,"1171819","Tabuaço",4390
1820,"1171820","Tarouca",27759
409,"1170409","Torre de Moncorvo",26155
410,"1170410","Vila Flor",16473
914,"1170914","Vila Nova de Foz Côa",10275
1714,"1171714","Vila Real",87135
401,"1180401","Alfândega da Fé",23752
1702,"1181702","Boticas",53202
402,"1180402","Bragança",166285
1703,"1181703","Chaves",300640
405,"1180405","Macedo de Cavaleiros",106392
406,"1180406","Miranda do Douro",136083
407,"1180407","Mirandela",82814
408,"1180408","Mogadouro",365362
1706,"1181706","Montalegre",161222
1707,"1181707","Murça",16500
1712,"1181712","Valpaços",78432
1713,"1181713","Vila Pouca de Aguiar",153917
411,"1180411","Vimioso",67979
412,"1180412","Vinhais",114516
101,"1610101","Águeda",117008
102,"1610102","Albergaria-a-Velha",143253
103,"1610103","Anadia",71238
105,"1610105","Aveiro",85980
108,"1610108","Estarreja",339190
110,"1610110","Ílhavo",25557
111,"1610111","Mealhada",74647
112,"1610112","Murtosa",194238
114,"1610114","Oliveira do Bairro",73272
115,"1610115","Ovar",245305
117,"1610117","Sever do Vouga",32831
118,"1610118","Vagos",165848
602,"1620602","Cantanhede",345572
603,"1620603","Coimbra",63112
604,"1620604","Condeixa-a-Nova",16902
605,"1620605","Figueira da Foz",258760
608,"1620608","Mira",174613
610,"1620610","Montemor-o-Velho",457334
613,"1620613","Penacova",15199
615,"1620615","Soure",41128
1004,"1631004","Batalha",194850
1009,"1631009","Leiria",2827673
1010,"1631010","Marinha Grande",2412
1015,"1631015","Pombal",386275
1016,"1631016","Porto de Mós",1390594
1002,"1641002","Alvaiázere",14641
1003,"1641003","Ansião",60627
601,"1640601","Arganil",12500
1007,"1641007","Castanheira de Pêra",1449
1008,"1641008","Figueiró dos Vinhos",4856
606,"1640606","Góis",48621
607,"1640607","Lousã",7084
609,"1640609","Miranda do Corvo",6894
611,"1640611","Oliveira do Hospital",20953
612,"1640612","Pampilhosa da Serra",2236
1013,"1641013","Pedrógão Grande",3833
614,"1640614","Penela",10998
616,"1640616","Tábua",24598
617,"1640617","Vila Nova de Poiares",3552
901,"1650901","Aguiar da Beira",97738
1802,"1651802","Carregal do Sal",28537
1803,"1651803","Castro Daire",56875
1806,"1651806","Mangualde",28409
1808,"1651808","Mortágua",28969
1809,"1651809","Nelas",13327
1810,"1651810","Oliveira de Frades",58538
1811,"1651811","Penalva do Castelo",13184
1814,"1651814","Santa Comba Dão",94916
1816,"1651816","São Pedro do Sul",64625
1817,"1651817","Sátão",51786
1821,"1651821","Tondela",65661
1822,"1651822","Vila Nova de Paiva",32253
1823,"1651823","Viseu",51168
1824,"1651824","Vouzela",50836
1413,"1661413","Mação",23883
506,"1660506","Oleiros",9866
508,"1660508","Proença-a-Nova",23996
509,"1660509","Sertã",146019
510,"1660510","Vila de Rei",11557
905,"1670905","Fornos de Algodres",14689
906,"1670906","Gouveia",27179
912,"1670912","Seia",28232
902,"1680902","Almeida",190773
903,"1680903","Celorico da Beira",44903
904,"1680904","Figueira de Castelo Rodrigo",72086
907,"1680907","Guarda",141762
908,"1680908","Manteigas",3290
909,"1680909","Mêda",17033
910,"1680910","Pinhel",84782
911,"1680911","Sabugal",87578
913,"1680913","Trancoso",74315
502,"1690502","Castelo Branco",190574
505,"1690505","Idanha-a-Nova",346519
507,"1690507","Penamacor",67949
511,"1690511","Vila Velha de Ródão",29510
501,"16A0501","Belmonte",33221
503,"16A0503","Covilhã",113286
504,"16A0504","Fundão",214381
1001,"16B1001","Alcobaça",1933948
1101,"16B1101","Alenquer",71948
1102,"16B1102","Arruda dos Vinhos",90987
1005,"16B1005","Bombarral",21351
1104,"16B1104","Cadaval",316721
