"","GW_ID","n-load"
"1",1,176900.412
"2",2,0
"3",3,3193382.683
"4",4,6611.911
"5",5,288416.532
"6",6,221175.117
"7",7,525260.056
"8",8,29022.991
"9",9,16893.04
"10",10,140.593
"11",11,31188.496
"12",12,263325.908
"13",13,254014.228
"14",14,60577.528
"15",15,21336.218
"16",16,74186.06
"17",17,23736.735
"18",18,61887.332
"19",19,9982.872
"20",20,138795.147
"21",21,51136.567
"22",22,50160.356
"23",23,30899.933
"24",24,51928.527
"25",25,29096.009
"26",26,26614.772
"27",27,40244.097
"28",28,4212.654
"29",29,187050.923
"30",30,24185.276
"31",31,4666.609
"32",32,100474.076
"33",33,614551.07
"34",34,885611.376
"35",35,86255.191
"36",36,1583.216
"37",37,8909.364
"38",38,88421.387
"39",39,744543.091
"40",40,2401223.633
"41",41,703963.815
"42",42,1113951.216
"43",43,161683.39
"44",44,1062455.53
"45",45,1147656.375
"46",46,607298.863
"47",47,15889.589
"48",48,2607.412
"49",49,0
"50",50,1267.128
"51",51,38571.185
"52",52,33779.663
"53",53,410235.907
"54",54,307207.866
"55",55,124712.024
"56",56,4002.473
"57",57,55209.302
"58",58,33496.43
"59",59,296962.691
"60",60,29770.134
"61",61,205171.121
"62",62,2464.343
"63",63,20962.599
"64",64,108910.876
"65",65,206606.601
"66",66,32028.296
"67",67,3015.17
"68",68,24265.245
"69",69,5323.296
"70",70,98742.894
"71",71,5104.429
"72",72,14329.759
"73",73,13155.232
"74",74,51110.992
"75",75,27544.594
"76",76,21018.525
"77",77,20130.424
"78",78,5366.926
"79",79,804.4
"80",80,26096.293
"81",81,845.691
"82",82,38871.936
"83",83,28421.804
"84",84,34587.241
"85",85,2344772.535
"86",86,2707.781
"87",87,1403.504
"88",88,270.483
"89",89,71452.255
"90",90,69146.403
"91",91,118381.861
"92",92,7746.317
"93",93,263495.015
