"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","intensive_pasture","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","olive_grove","potato","bean","chickpea","other_pulses","vineyard","total"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",932.76,687.3,726.06,674.38,674.38,439.25,0,1098.13,25.84,0,38.76,0,0,0,12.92,0,0,0,0,0,38.76,0,12.92,0,0,0,0,38.76,129.19,38.76,0,12.92,607.2,6188.29
1603,"1111603","Melgaço",19.81,146.86,21.96,17.66,17.66,157.2,0,6.46,0,0,19.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,2.15,0,0,378.99,805.36
1604,"1111604","Monção",101.63,624.52,112.33,90.94,92.27,498.81,0,24.07,2.67,0,28.08,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,1.34,21.4,4.01,0,2.67,909.36,2516.77
1605,"1111605","Paredes de Coura",124.88,160.02,127.58,110.01,111.36,162.18,0,40.55,5.41,0,2.7,0,0,0,0,0,0,0,4.05,0,0,0,5.41,0,0,0,0,10.81,16.22,2.7,0,0,35.14,919.02
1606,"1111606","Ponte da Barca",149.76,173.09,147.64,147.64,147.64,248.18,0,21.21,0,0,12.73,0,0,0,21.21,0,0,0,8.48,0,0,0,0,0,0,0,2.12,21.21,4.24,0,0,2.12,543.03,1650.3
1607,"1111607","Ponte de Lima",478.61,314.86,293.95,275.37,275.95,91.17,0,258.99,8.13,0,13.94,0,0.58,1.74,12.19,0,3.48,0,65.62,0,2.9,0,18.58,0.58,1.16,1.16,2.9,61.55,63.88,15.68,0,11.03,591.15,2865.15
1608,"1111608","Valença",182.38,382.13,431.34,153.43,156.33,92.64,0,379.24,31.84,0,11.58,0,0,0,0,0,0,0,2.89,0,2.89,0,2.89,0,0,0,2.89,0,20.26,0,0,2.89,581.88,2437.5
1609,"1111609","Viana do Castelo",3877.85,2375.8,1536.41,1433.33,1443.15,701.94,0,2905.93,19.63,0,73.63,0,0,4.91,39.27,0,9.82,0,58.9,0,9.82,0,29.45,0,9.82,4.91,19.63,201.26,564.5,88.36,0,24.54,1840.75,17273.61
1610,"1111610","Vila Nova de Cerveira",707.6,485.78,663.24,430.33,441.42,676.55,0,421.45,0,0,11.09,0,0,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0,11.09,66.55,44.36,0,0,321.64,4292.19
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",6390.9,4370.44,3049.53,3029.48,3037.5,128.28,0,334.74,4.01,0,18.04,0,0,2,20.04,0,6.01,0,20.04,0,6.01,0,18.04,2,6.01,4.01,4.01,16.04,100.22,10.02,0,14.03,1385.06,21976.46
303,"1120303","Braga",2292.15,2206.96,2032.51,1736.36,1752.58,60.85,0,385.41,0,0,32.46,0,0,8.11,32.46,0,4.06,0,12.17,0,44.63,0,52.74,4.06,28.4,8.11,16.23,32.46,36.51,0,0,8.11,1415.86,12203.19
306,"1120306","Esposende",3180.92,1226.82,1025.9,1021.96,1021.96,66.97,0,697.33,0,0,7.88,0,0,0,0,0,0,0,3.94,0,0,0,3.94,0,0,0,0,3.94,141.83,23.64,0,0,295.48,8722.51
310,"1120310","Terras de Bouro",24.88,68.49,22.96,21.67,21.67,84,0,23.73,0,0,3.21,0,0,0,0,0,0.64,0,0.64,0,0,0,0.64,0,0,0,0,1.92,0.64,1.28,0,0.64,56.43,333.44
313,"1120313","Vila Verde",36.41,69.87,52.24,23.96,23.96,26.59,0,12.35,0.5,0,2.79,0,0,0.3,1.2,0,0.2,0,1.49,0,0.3,0,1.49,0,0.4,0.3,0.2,1.29,2.59,0.7,0,1,36.75,296.88
307,"1130307","Fafe",310.86,378.33,313.46,303.08,303.08,120.66,0,145.31,2.59,0,40.22,0,0,0,0,0,0,0,1.3,0,1.3,0,1.3,0,2.59,1.3,1.3,0,12.97,10.38,0,0,365.87,2315.9
308,"1130308","Guimarães",3724.07,5725.16,2604.81,2333.48,2333.48,156.02,0,970.02,27.13,0,230.63,0,0,0,33.92,0,0,0,27.13,0,81.4,0,20.35,6.78,20.35,13.57,6.78,20.35,67.83,27.13,0,13.57,4687.31,23131.27
309,"1130309","Póvoa de Lanhoso",27.8,25.83,28.25,22.66,23.11,8.32,0,9.07,0.15,0,2.42,0,0,0.15,0.6,0,0,0,0.3,0,1.21,0,0.15,0,0.3,0,0.15,0.76,0.45,0.45,0,0.15,39.02,191.3
1314,"1131314","Santo Tirso",954.14,1040.1,386.81,298.71,298.71,135.39,0,186.96,4.3,0,15.04,0,0,2.15,23.64,0,4.3,0,25.79,0,17.19,6.45,21.49,15.04,2.15,4.3,8.6,2.15,17.19,0,0,0,749.99,4220.59
1318,"1131318","Trofa",717.95,615.88,423.63,421.93,425.33,18.71,0,47.64,0,0,1.7,0,0,1.7,1.7,0,0,0,1.7,0,0,0,0,0,0,0,1.7,0,8.51,0,0,0,78.26,2766.34
311,"1130311","Vieira do Minho",3.76,6.04,3.32,3.05,3.05,0.76,0,1.92,0,0,0.72,0,0,0,0.04,0,0,0,0.13,0,0.09,0,0.04,0,0,0,0.04,0.76,0.09,0.13,0,0,7.06,31
312,"1130312","Vila Nova de Famalicão",14103.35,14983.44,7893.87,7307.15,7307.15,391.15,0,1381.24,12.22,0,61.12,0,0,12.22,48.89,0,12.22,0,36.67,0,36.67,0,48.89,12.22,24.45,24.45,36.67,12.22,110.01,24.45,0,134.46,7065.12,61080.3
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",1.87,5,1.87,1.87,1.87,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,3.12,0,0,9.37,40.58
1304,"1141304","Gondomar",162.46,324.28,236.9,152.75,155.99,19.42,3.24,74.44,6.47,0,16.18,0,0,0,0,0,0,0,38.84,0,19.42,0,0,3.24,0,3.24,3.24,22.65,19.42,0,0,3.24,459.56,1724.98
1306,"1141306","Maia",384.82,910.1,348.66,344.86,344.86,28.55,0,19.03,0,0,0,0,0,0,3.81,0,0,0,1.9,0,1.9,0,1.9,0,1.9,0,1.9,0,5.71,1.9,0,0,91.35,2493.15
1308,"1141308","Matosinhos",300.98,614.21,243.38,236.18,236.18,30.6,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.8,0,0,1.8,16.2,0,0,0,9,1708.33
1312,"1141312","Porto",4.46,10.02,7.24,7.24,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,2.78,5.57,2.78,0,0,0,2.78,52.89
1313,"1141313","Póvoa de Varzim",1508.29,1243.04,907.47,907.47,907.47,6.03,0,68.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,26.12,6.03,0,0,72.34,5654.59
