Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion,SUM
1601,1111601,Arcos de Valdevez,1415.7,2805.66,68.64,0,0,0,0,4290
1602,1111602,Caminha,297.6,163.215,4.185,0,0,0,0,465
1603,1111603,Melga�o,257.472,1430.784,39.744,0,0,0,0,1728
1604,1111604,Mon��o,1108.825,1414.078,86.097,0,0,0,0,2609
1605,1111605,Paredes de Coura,667.776,1574.688,15.792,0,0,0,0,2256
1606,1111606,Ponte da Barca,841.325,928.925,54.75,0,0,0,0,1825
1607,1111607,Ponte de Lima,3866.8,723.644,834.124,88.384,5.524,0,0,5524
1608,1111608,Valen�a,644.592,330.56,32.023,24.792,0,0,2.066,1033
1609,1111609,Viana do Castelo,1993.535,106.745,660.665,121.17,0,0,2.885,2885
1610,1111610,Vila Nova de Cerveira,359.34,96.276,221.706,0,0,0,0,678
301,1120301,Amares,898.191,414.26,534.772,9.415,0,0,26.362,1883
302,1120302,Barcelos,1783.32,127.38,6517.61,2186.69,0,0,0,10615
303,1120303,Braga,1966.8,303.96,2033.85,156.45,0,0,4.47,4470
306,1120306,Esposende,174.383,6.303,1748.032,165.979,0,0,4.202,2101
310,1120310,Terras de Bouro,450.14,934.36,34.08,0,0,0,0,1420
313,1120313,Vila Verde,2328.675,1029.375,1162.05,36.6,0,0,22.875,4575
307,1130307,Fafe,2050.29,1872.184,207.1,0,0,0,4.142,4142
308,1130308,Guimar�es,2375.949,333.891,2085.609,38.712,0,0,4.839,4839
309,1130309,P�voa de Lanhoso,1399.684,530.999,508.976,0,0,0,7.341,2447
1314,1131314,Santo Tirso,995.026,91.471,852.242,258.796,0,0,31.234,2231
1318,1131318,Trofa,58.548,8.364,906.1,416.806,0,0,2.788,1394
311,1130311,Vieira do Minho,439.47,1755.567,117.963,0,0,0,0,2313
312,1130312,Vila Nova de Famalic�o,609.228,112.82,3378.959,1539.993,0,0,5.641,5641
314,1130314,Vizela,295,55.224,121.776,0,0,0,0,472
107,1140107,Espinho,17.296,0,29.704,0,0,0,0,47
1304,1141304,Gondomar,763.606,49.062,423.946,22.644,0,0,0,1258
1306,1141306,Maia,140.13,10.899,1184.877,217.98,0,0,1.557,1557
1308,1141308,Matosinhos,58.465,15.945,929.062,58.465,0,0,2.126,1063
1312,1141312,Porto,0,0,0,0,0,0,0,0
