Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion
1601,1111601,Arcos de Valdevez,5445000,7195000,91618,0,0,61195,0
1602,1111602,Caminha,1080000,395000,15644,0,0,0,0
1603,1111603,Melga�o,1035000,3835000,59429,0,0,34944,0
1604,1111604,Mon��o,4687500,3990000,0,0,0,142688,0
1605,1111605,Paredes de Coura,3547500,5575000,41651,0,0,5867,0
1606,1111606,Ponte da Barca,2722500,2005000,101686,0,0,34987,0
1607,1111607,Ponte de Lima,12465000,1555000,2424647,305058,21903,219851,5319
1608,1111608,Valen�a,2760000,945000,1104,109508,0,56874,2912
1609,1111609,Viana do Castelo,4350000,155000,1317462,273770,0,102206,5867
1610,1111610,Vila Nova de Cerveira,1117500,200000,672067,0,0,29833,0
301,1120301,Amares,3367500,1035000,1750605,39110,0,156421,69147
302,1120302,Barcelos,9690000,480000,34672336,12365957,0,1507336,2912
303,1120303,Braga,9045000,925000,9143926,656089,0,269627,12508
306,1120306,Esposende,630000,15000,5799682,625760,0,290811,11734
310,1120310,Terras de Bouro,1927500,2665000,46932,0,0,53533,0
313,1120313,Vila Verde,10155000,2990000,4682607,156440,0,230929,36288
307,1130307,Fafe,7545000,4595000,234524,0,0,216798,8736
308,1130308,Guimar�es,10200000,950000,8059514,155756,0,489942,5824
309,1130309,P�voa de Lanhoso,4710000,1190000,1436483,0,0,103317,16481
1314,1131314,Santo Tirso,3795000,235000,2914193,1029379,0,187099,54326
1318,1131318,Trofa,390000,40000,6025064,2883156,0,84814,11143
311,1130311,Vieira do Minho,2782500,7395000,678181,0,0,32300,0
312,1130312,Vila Nova de Famalic�o,2940000,365000,16005536,7781792,0,519379,5824
314,1130314,Vizela,1365000,170000,402824,0,0,57450,0
107,1140107,Espinho,157500,0,258410,0,0,0,0
1304,1141304,Gondomar,3540000,150000,1744664,108391,0,82262,0
1306,1141306,Maia,1012500,50000,8610223,1636370,0,35116,5824
1308,1141308,Matosinhos,420000,75000,6869877,438032,0,11734,11734
1312,1141312,Porto,45000,30000,122918,0,0,0,0
1313,1141313,P�voa de Varzim,142500,5000,9460409,9162384,0,1496783,8779
1315,1141315,Valongo,1785000,45000,1570946,0,0,40392,0
1316,1141316,Vila do Conde,67500,25000,17676608,20904456,219030,997275,18202
1317,1141317,Vila Nova de Gaia,1950000,95000,2393189,23466,0,56331,6554
1301,1151301,Amarante,10680000,2025000,379901,85896,0,368593,29120
1302,1151302,Bai�o,4582500,2245000,1058481,0,0,180332,124600
304,1150304,Cabeceiras de Basto,4702500,8560000,533589,0,0,242670,0
106,1150106,Castelo de Paiva,2677500,645000,1003247,0,0,104877,0
305,1150305,Celorico de Basto,7770000,1560000,540510,78220,0,299786,0
1804,1151804,Cinf�es,6285000,4155000,257740,0,0,257117,24689
1303,1151303,Felgueiras,8422500,795000,537480,610116,0,199538,26468
1305,1151305,Lousada,7012500,450000,2547671,0,0,37192,0
1307,1151307,Marco de Canaveses,6015000,1155000,619807,70398,0,424985,0
1705,1151705,Mondim de Basto,3195000,2715000,90527,93864,0,14603,0
1309,1151309,Pa�os de Ferreira,2467500,175000,1957952,269162,0,14603,0
1310,1151310,Paredes,6060000,80000,1855118,31288,0,65174,0
1311,1151311,Penafiel,9420000,505000,1755840,220120,0,206674,5867
1813,1151813,Resende,2235000,3555000,428065,0,0,1827348,10598
1709,1151709,Ribeira de Pena,4222500,5345000,640056,0,0,8736,0
104,1160104,Arouca,5655000,1445000,3777168,10030,0,72135,5867
113,1160113,Oliveira de Azem�is,2145000,30000,6899434,148618,0,230799,0
109,1160109,Santa Maria da Feira,3150000,0,2449923,70398,0,5867,0
116,1160116,S�o Jo�o da Madeira,0,0,0,0,0,0,0
119,1160119,Vale de Cambra,2902500,820000,425449,0,0,8120,0
1701,1171701,Alij�,292500,330000,24817,0,0,506259,0
1801,1171801,Armamar,195000,845000,60292,0,0,7799871,8757
403,1170403,Carrazeda de Ansi�es,855000,315000,172482,0,0,2953481,0
404,1170404,Freixo de Espada � Cinta,75000,640000,0,0,0,4139043,0
1805,1171805,Lamego,667500,1935000,163007,0,0,3783414,0
1704,1171704,Mes�o Frio,0,40000,12100,0,0,34760,0
1807,1171807,Moimenta da Beira,1665000,1245000,1758126,18326,0,4894233,16275
1812,1171812,Penedono,427500,1055000,466694,28181,0,368728,6952
1708,1171708,Peso da R�gua,22500,20000,140829,0,0,41209,23154
1710,1171710,Sabrosa,592500,135000,98911,0,0,253169,0
1711,1171711,Santa Marta de Penagui�o,15000,80000,21175,0,0,0,0
1815,1171815,S�o Jo�o da Pesqueira,165000,675000,178024,0,0,1405116,218080
1818,1171818,Sernancelhe,1222500,1465000,1555326,82467,0,1849473,0
1819,1171819,Tabua�o,952500,135000,197344,2311,0,569198,0
1820,1171820,Tarouca,690000,600000,451195,20799,0,2347255,0
409,1170409,Torre de Moncorvo,75000,1500000,85887,0,0,3383755,61845
410,1170410,Vila Flor,210000,675000,361691,0,0,2329767,0
914,1170914,Vila Nova de Foz C�a,127500,240000,3025,29565,0,1359003,0
1714,1171714,Vila Real,5902500,2740000,630235,68985,0,236355,57649
401,1180401,Alf�ndega da F�,15000,350000,583280,0,0,2276525,2919
1702,1181702,Boticas,3675000,13755000,0,0,0,0,0
402,1180402,Bragan�a,1710000,7590000,3768195,0,72938,59927,0
1703,1181703,Chaves,17880000,6285000,1997590,553021,0,253987,0
405,1180405,Macedo de Cavaleiros,277500,1245000,1778726,18326,0,642907,0
406,1180406,Miranda do Douro,75000,50000,443215,0,0,11676,0
407,1180407,Mirandela,900000,1935000,591097,148782,0,1845696,24758
408,1180408,Mogadouro,277500,220000,283713,54978,0,413771,0
1706,1181706,Montalegre,5835000,32695000,802495,91630,0,0,0
1707,1181707,Mur�a,547500,270000,17969,0,0,284009,0
1712,1181712,Valpa�os,4560000,1795000,589223,0,51312,969504,0
1713,1181713,Vila Pouca de Aguiar,5010000,8040000,3672212,0,0,15410,0
411,1180411,Vimioso,885000,310000,279861,0,0,14595,0
412,1180412,Vinhais,997500,11235000,888578,0,0,121775,5007
101,1610101,�gueda,1957500,1640000,3773972,980640,0,79808,0
102,1610102,Albergaria-a-Velha,1050000,0,6253386,1067808,0,13692,0
103,1610103,Anadia,1020000,115000,4056686,940909,0,29581,9636
105,1610105,Aveiro,1200000,25000,7299142,3411992,0,613268,594820
108,1610108,Estarreja,255000,1020000,13590243,3316360,0,247080,0
110,1610110,�lhavo,202500,10000,1923081,1602124,0,347544,0
111,1610111,Mealhada,982500,60000,1675524,613884,0,8730,0
112,1610112,Murtosa,7500,0,4962673,3825632,0,2697058,0
114,1610114,Oliveira do Bairro,937500,1940000,3723505,92687,50845,1353982,3827
115,1610115,Ovar,1177500,5000,8127396,517094,0,828654,0
117,1610117,Sever do Vouga,2145000,360000,590088,0,0,43992,14664
118,1610118,Vagos,187500,15000,9613699,1405584,0,1436336,174600
602,1620602,Cantanhede,975000,170000,14834738,524144,0,1211583,171893
603,1620603,Coimbra,12442500,6670000,2556260,991043,1353275,628877,31740
604,1620604,Condeixa-a-Nova,1680000,605000,810207,55616,498281,19272,0
605,1620605,Figueira da Foz,1980000,41500000,8041886,529364,1210111,731824,17460
608,1620608,Mira,120000,100000,2813890,564131,459963,177009,23468
610,1620610,Montemor-o-Velho,19072500,24095000,11740162,1047514,1367532,483733,0
613,1620613,Penacova,667500,25000,230006,0,0,17277,0
615,1620615,Soure,5310000,17510000,2926100,925993,0,138932,5867
1004,1631004,Batalha,225000,80000,297269,24570,0,640411,5867
1009,1631009,Leiria,8377500,1150000,3073428,669841,1306879,1321963,78414
1010,1631010,Marinha Grande,285000,20000,172967,0,0,46355,0
1015,1631015,Pombal,3607500,3285000,3983666,390930,132778,304749,51480
1016,1631016,Porto de M�s,37500,90000,121764,0,0,1558156,29335
1002,1641002,Alvai�zere,112500,50000,320539,7197,0,65097,0
1003,1641003,Ansi�o,75000,35000,391629,0,0,11693,0
601,1640601,Arganil,397500,20000,1091880,71970,0,26595,0
1007,1641007,Castanheira de P�ra,22500,0,15019,0,0,1942,0
1008,1641008,Figueir� dos Vinhos,210000,5000,196586,7197,0,0,0
606,1640606,G�is,202500,5000,48668,0,0,0,0
607,1640607,Lous�,240000,5000,241262,0,0,35457,0
609,1640609,Miranda do Corvo,262500,30000,256614,0,0,98857,0
611,1640611,Oliveira do Hospital,1800000,280000,4105681,86364,0,134272,0
612,1640612,Pampilhosa da Serra,67500,25000,23466,0,0,3884,0
1013,1641013,Pedr�g�o Grande,127500,5000,140025,0,0,0,5319
614,1640614,Penela,217500,30000,477996,148940,0,5390,0
616,1640616,T�bua,750000,155000,2430731,143940,0,125838,0
617,1640617,Vila Nova de Poiares,135000,15000,118738,0,0,7768,11908
901,1650901,Aguiar da Beira,1365000,720000,4559620,0,0,998279,0
1802,1651802,Carregal do Sal,360000,30000,963659,0,0,124234,5867
1803,1651803,Castro Daire,4762500,2745000,581521,0,0,30961,1942
1806,1651806,Mangualde,1927500,1045000,6502456,7822,0,490834,0
1808,1651808,Mort�gua,892500,45000,388187,0,0,0,0
1809,1651809,Nelas,570000,190000,1476013,82292,0,292563,0
1810,1651810,Oliveira de Frades,3855000,405000,1342320,23466,0,2912,0
1811,1651811,Penalva do Castelo,2490000,250000,1035015,43240,0,572323,0
1814,1651814,Santa Comba D�o,690000,325000,819172,20115,0,33220,0
1816,1651816,S�o Pedro do Sul,7957500,1970000,1598760,130452,0,225740,5867
1817,1651817,S�t�o,3232500,945000,899580,47791,0,117183,0
1821,1651821,Tondela,4012500,890000,2950344,22841,0,243817,0
1822,1651822,Vila Nova de Paiva,1230000,1460000,178429,0,0,0,0
