Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion
1601,1111601,Arcos de Valdevez,4123000,0,39110,0,0,0,0
1602,1111602,Caminha,917000,0,7822,0,0,0,0
1603,1111603,Melgaço,826000,0,39110,0,0,0,0
1604,1111604,Monção,3696000,0,0,0,0,0,0
1605,1111605,Paredes de Coura,1540000,0,15644,0,0,0,0
1606,1111606,Ponte da Barca,1953000,0,7822,0,0,0,0
1607,1111607,Ponte de Lima,8708000,0,461498,0,21903,0,0
1608,1111608,Valença,2121000,0,0,0,0,0,0
1609,1111609,Viana do Castelo,2842000,0,430210,15644,0,0,0
1610,1111610,Vila Nova de Cerveira,812000,0,46932,0,0,0,0
301,1120301,Amares,2359000,0,657048,0,0,0,0
302,1120302,Barcelos,2765000,0,3074046,132974,0,0,0
303,1120303,Braga,4914000,0,3253952,39110,0,0,0
306,1120306,Esposende,364000,0,563184,0,0,0,0
310,1120310,Terras de Bouro,1596000,0,46932,0,0,0,0
313,1120313,Vila Verde,6720000,0,1658264,0,0,0,0
307,1130307,Fafe,5068000,0,156440,0,0,0,0
308,1130308,Guimarães,6111000,0,1814704,7822,0,0,0
309,1130309,Póvoa de Lanhoso,3024000,0,336346,0,0,0,0
1314,1131314,Santo Tirso,1876000,0,1024682,78220,0,0,0
1318,1131318,Trofa,126000,0,1001216,15644,0,0,0
311,1130311,Vieira do Minho,1743000,0,375456,0,0,0,0
312,1130312,Vila Nova de Famalicão,1337000,0,3339994,344168,0,13690,0
314,1130314,Vizela,938000,0,164262,0,0,0,0
107,1140107,Espinho,112000,0,39110,0,0,0,0
1304,1141304,Gondomar,1757000,0,508430,0,0,0,0
1306,1141306,Maia,238000,0,1251520,15644,0,0,0
1308,1141308,Matosinhos,126000,0,461498,0,0,0,0
1312,1141312,Porto,14000,0,31288,0,0,0,0
1313,1141313,Póvoa de Varzim,7000,0,563184,7822,0,0,0
1315,1141315,Valongo,1197000,0,672692,0,0,0,0
1316,1141316,Vila do Conde,14000,0,1001216,250304,0,0,0
1317,1141317,Vila Nova de Gaia,1190000,0,1157656,23466,0,0,0
1301,1151301,Amarante,7798000,0,86042,62576,0,0,0
1302,1151302,Baião,3276000,0,73304,0,0,0,0
304,1150304,Cabeceiras de Basto,3164000,0,219016,0,0,0,0
106,1150106,Castelo de Paiva,1708000,0,524074,0,0,0,0
305,1150305,Celorico de Basto,5334000,0,156440,7822,0,0,0
1804,1151804,Cinfães,4284000,0,187728,0,0,0,0
1303,1151303,Felgueiras,5299000,0,344168,101686,0,0,0
1305,1151305,Lousada,4081000,0,477142,0,0,0,0
1307,1151307,Marco de Canaveses,4571000,0,312880,0,0,0,0
1705,1151705,Mondim de Basto,2233000,0,62576,0,0,0,0
1309,1151309,Paços de Ferreira,1239000,0,586650,0,0,0,0
1310,1151310,Paredes,3920000,0,954284,31288,0,6845,0
1311,1151311,Penafiel,7966000,0,539718,7822,0,68450,0
1813,1151813,Resende,1561000,0,211194,0,0,0,0
1709,1151709,Ribeira de Pena,2261000,0,265948,0,0,0,0
104,1160104,Arouca,3290000,0,711802,0,0,0,0
113,1160113,Oliveira de Azeméis,1211000,0,766556,7822,0,0,0
109,1160109,Santa Maria da Feira,2191000,0,1095080,0,0,0,0
116,1160116,São João da Madeira,0,0,0,0,0,0,0
119,1160119,Vale de Cambra,2261000,0,203372,0,0,0,0
1701,1171701,Alijó,140000,0,9163,0,0,0,0
1801,1171801,Armamar,35000,0,0,0,0,0,0
403,1170403,Carrazeda de Ansiães,70000,0,91630,0,0,0,0
404,1170404,Freixo de Espada à Cinta,0,0,0,0,0,0,0
1805,1171805,Lamego,245000,0,27489,0,0,0,0
1704,1171704,Mesão Frio,0,0,0,0,0,0,0
1807,1171807,Moimenta da Beira,651000,0,164934,0,0,0,0
1812,1171812,Penedono,133000,0,54978,0,0,0,0
1708,1171708,Peso da Régua,0,0,27489,0,0,0,0
1710,1171710,Sabrosa,378000,0,36652,0,0,0,0
1711,1171711,Santa Marta de Penaguião,14000,0,0,0,0,0,0
1815,1171815,São João da Pesqueira,35000,0,64141,0,0,0,0
1818,1171818,Sernancelhe,287000,0,384846,73304,0,0,0
1819,1171819,Tabuaço,196000,0,18326,0,0,0,0
1820,1171820,Tarouca,294000,0,9163,0,0,0,0
409,1170409,Torre de Moncorvo,21000,0,18326,0,0,0,0
410,1170410,Vila Flor,7000,0,9163,0,0,0,0
914,1170914,Vila Nova de Foz Côa,35000,0,0,0,0,0,0
1714,1171714,Vila Real,2114000,0,320705,0,0,0,0
401,1180401,Alfândega da Fé,0,0,9163,0,0,0,0
1702,1181702,Boticas,2443000,0,0,0,0,0,0
402,1180402,Bragança,42000,0,36652,0,0,0,0
1703,1181703,Chaves,6608000,0,384846,0,0,0,0
405,1180405,Macedo de Cavaleiros,21000,0,36652,0,0,0,0
406,1180406,Miranda do Douro,0,0,0,0,0,0,0
407,1180407,Mirandela,84000,0,18326,0,0,0,0
408,1180408,Mogadouro,21000,0,0,0,0,0,0
1706,1181706,Montalegre,2702000,0,128282,0,0,0,0
1707,1181707,Murça,126000,0,9163,0,0,0,0
1712,1181712,Valpaços,1022000,0,100793,0,0,0,0
1713,1181713,Vila Pouca de Aguiar,2408000,0,467313,0,0,0,0
411,1180411,Vimioso,0,0,0,0,0,0,0
412,1180412,Vinhais,140000,0,91630,0,0,0,0
101,1610101,Águeda,1519000,0,2625936,163440,0,0,0
102,1610102,Albergaria-a-Velha,553000,0,3584784,228816,0,0,0
103,1610103,Anadia,777000,0,2549664,32688,0,0,0
105,1610105,Aveiro,763000,0,3279696,1917696,0,266952,0
108,1610108,Estarreja,161000,0,2604144,87168,0,9534,0
110,1610110,Ílhavo,168000,0,1013328,1351104,0,47670,0
111,1610111,Mealhada,672000,0,1253040,54480,0,0,0
112,1610112,Murtosa,7000,0,1830528,98064,0,238350,0
114,1610114,Oliveira do Bairro,700000,0,2190096,32688,0,123942,0
115,1610115,Ovar,399000,0,1242144,0,0,152544,0
117,1610117,Sever do Vouga,1561000,0,381360,0,0,0,0
118,1610118,Vagos,126000,0,4303920,119856,0,76272,0
602,1620602,Cantanhede,567000,0,5186496,0,0,47670,0
603,1620603,Coimbra,10178000,0,1318416,926160,1321970,76272,0
