"Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","microaspersion"
1601,"1111601","Arcos de Valdevez",450000,0,0,0,0,0,0
1602,"1111602","Caminha",45000,0,0,0,0,0,0
1603,"1111603","Melgaço",90000,0,13122,0,0,0,0
1604,"1111604","Monção",240000,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",330000,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",307500,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",142500,0,0,0,0,0,0
1608,"1111608","Valença",97500,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",37500,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",30000,0,0,0,0,0,0
301,"1120301","Amares",22500,0,0,0,0,0,0
302,"1120302","Barcelos",217500,0,26244,0,0,0,0
303,"1120303","Braga",322500,0,0,0,0,0,0
306,"1120306","Esposende",15000,0,26244,0,0,0,0
310,"1120310","Terras de Bouro",37500,0,0,0,0,0,0
313,"1120313","Vila Verde",427500,0,0,0,0,0,0
307,"1130307","Fafe",450000,0,4374,0,0,0,0
308,"1130308","Guimarães",270000,0,30618,0,0,0,0
309,"1130309","Póvoa de Lanhoso",90000,0,0,0,0,0,0
1314,"1131314","Santo Tirso",420000,5000,48114,0,0,0,0
1318,"1131318","Trofa",52500,0,91854,0,0,0,0
311,"1130311","Vieira do Minho",180000,0,4374,0,0,0,0
312,"1130312","Vila Nova de Famalicão",135000,0,26244,0,0,0,0
314,"1130314","Vizela",7500,0,0,0,0,0,0
107,"1140107","Espinho",15000,0,4374,0,0,0,0
1304,"1141304","Gondomar",765000,0,4374,0,0,0,0
1306,"1141306","Maia",450000,10000,196830,0,0,0,0
1308,"1141308","Matosinhos",135000,0,56862,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",97500,0,8748,0,0,0,0
1315,"1141315","Valongo",375000,5000,0,0,0,0,0
1316,"1141316","Vila do Conde",7500,5000,166212,0,0,0,0
1317,"1141317","Vila Nova de Gaia",105000,0,30618,0,0,7656,0
1301,"1151301","Amarante",195000,0,0,0,0,0,0
1302,"1151302","Baião",82500,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",195000,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",45000,0,0,0,0,0,0
305,"1150305","Celorico de Basto",97500,10000,4374,0,0,0,0
1804,"1151804","Cinfães",292500,0,0,0,0,0,0
1303,"1151303","Felgueiras",247500,10000,4374,0,0,7656,0
1305,"1151305","Lousada",97500,5000,4374,0,0,0,0
1307,"1151307","Marco de Canaveses",82500,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",7500,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",135000,0,4374,0,0,0,0
1310,"1151310","Paredes",645000,0,4374,0,0,3828,0
1311,"1151311","Penafiel",172500,0,4374,0,0,0,0
1813,"1151813","Resende",427500,0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",30000,0,4374,0,0,0,0
104,"1160104","Arouca",135000,0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",7500,0,0,0,0,7656,0
109,"1160109","Santa Maria da Feira",67500,0,8748,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0,0
1701,"1171701","Alijó",120000,0,0,0,0,0,0
1801,"1171801","Armamar",112500,135000,0,0,0,5007,0
403,"1170403","Carrazeda de Ansiães",765000,5000,68664,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",75000,0,0,0,0,0,0
1805,"1171805","Lamego",195000,70000,0,0,0,20028,0
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",637500,0,143050,0,0,5007,0
1812,"1171812","Penedono",232500,0,125884,0,0,0,0
1708,"1171708","Peso da Régua",7500,0,5722,0,0,0,0
1710,"1171710","Sabrosa",135000,0,11444,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",127500,30000,28610,0,0,0,0
1818,"1171818","Sernancelhe",667500,30000,377652,0,0,0,0
