"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"1",1601,"1111601","Arcos de Valdevez",1149,0,10,0,0,0,1158
"2",1602,"1111602","Caminha",271,0,2,0,0,0,273
"3",1603,"1111603","Melgaço",220,0,9,0,0,0,230
"4",1604,"1111604","Monção",936,0,0,0,0,0,936
"5",1605,"1111605","Paredes de Coura",311,0,3,0,0,0,313
"6",1606,"1111606","Ponte da Barca",646,0,2,0,0,0,648
"7",1607,"1111607","Ponte de Lima",2895,0,137,0,7,0,3039
"8",1608,"1111608","Valença",531,0,0,0,0,0,531
"9",1609,"1111609","Viana do Castelo",1396,0,189,7,0,0,1592
"10",1610,"1111610","Vila Nova de Cerveira",280,0,14,0,0,0,294
"11",301,"1120301","Amares",674,0,168,0,0,0,842
"12",302,"1120302","Barcelos",545,0,542,23,0,0,1111
"13",303,"1120303","Braga",1146,0,679,8,0,0,1833
"14",306,"1120306","Esposende",108,0,150,0,0,0,258
"15",310,"1120310","Terras de Bouro",400,0,11,0,0,0,410
"16",313,"1120313","Vila Verde",1650,0,364,0,0,0,2014
"17",307,"1130307","Fafe",1477,0,41,0,0,0,1517
"18",308,"1130308","Guimarães",1525,0,405,2,0,0,1932
"19",309,"1130309","Póvoa de Lanhoso",964,0,96,0,0,0,1060
"20",1314,"1131314","Santo Tirso",527,0,257,20,0,0,804
"21",1318,"1131318","Trofa",20,0,144,2,0,0,167
"22",311,"1130311","Vieira do Minho",296,0,57,0,0,0,352
"23",312,"1130312","Vila Nova de Famalicão",296,0,664,68,0,0,1027
"24",314,"1130314","Vizela",217,0,34,0,0,0,251
"25",107,"1140107","Espinho",13,0,4,0,0,0,17
"26",1304,"1141304","Gondomar",406,0,105,0,0,0,511
"27",1306,"1141306","Maia",35,0,166,2,0,0,204
"28",1308,"1141308","Matosinhos",19,0,61,0,0,0,80
"29",1312,"1141312","Porto",0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",1,0,73,1,0,0,75
"31",1315,"1141315","Valongo",248,0,125,0,0,0,373
"32",1316,"1141316","Vila do Conde",2,0,129,32,0,0,163
"33",1317,"1141317","Vila Nova de Gaia",313,0,273,6,0,0,591
"34",1301,"1151301","Amarante",2597,0,26,19,0,0,2641
"35",1302,"1151302","Baião",1199,0,20,0,0,0,1219
"36",304,"1150304","Cabeceiras de Basto",738,0,46,0,0,0,783
"37",106,"1150106","Castelo de Paiva",380,0,104,0,0,0,484
"38",305,"1150305","Celorico de Basto",1591,0,42,2,0,0,1635
"39",1804,"1151804","Cinfães",1122,0,44,0,0,0,1166
"40",1303,"1151303","Felgueiras",1662,0,97,29,0,0,1787
"41",1305,"1151305","Lousada",1087,0,114,0,0,0,1201
"42",1307,"1151307","Marco de Canaveses",1751,0,107,0,0,0,1858
"43",1705,"1151705","Mondim de Basto",509,0,13,0,0,0,522
"44",1309,"1151309","Paços de Ferreira",319,0,135,0,0,0,455
"45",1310,"1151310","Paredes",1115,0,245,8,0,0,1368
"46",1311,"1151311","Penafiel",2348,0,163,2,0,0,2513
"47",1813,"1151813","Resende",379,0,46,0,0,0,424
"48",1709,"1151709","Ribeira de Pena",446,0,47,0,0,0,493
"49",104,"1160104","Arouca",748,0,145,0,0,0,893
"50",113,"1160113","Oliveira de Azeméis",241,0,136,1,0,0,378
