"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"1",1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0
"2",1602,"1111602","Caminha",0,0,0,0,0,0,0
"3",1603,"1111603","Melgaço",0,0,0,0,0,0,0
"4",1604,"1111604","Monção",0,0,0,0,0,0,0
"5",1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0
"6",1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0
"7",1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0
"8",1608,"1111608","Valença",0,0,0,0,0,0,0
"9",1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0
"10",1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0
"11",301,"1120301","Amares",0,0,0,0,0,0,0
"12",302,"1120302","Barcelos",0,0,0,0,0,0,0
"13",303,"1120303","Braga",0,0,3,0,0,0,3
"14",306,"1120306","Esposende",0,0,0,0,0,0,0
"15",310,"1120310","Terras de Bouro",0,0,0,0,0,0,0
"16",313,"1120313","Vila Verde",0,0,0,0,0,0,0
"17",307,"1130307","Fafe",0,0,0,0,0,0,0
"18",308,"1130308","Guimarães",0,0,10,0,0,0,10
"19",309,"1130309","Póvoa de Lanhoso",0,0,2,0,0,0,2
"20",311,"1130311","Vieira do Minho",0,0,2,0,0,0,2
"21",312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0
"22",314,"1130314","Vizela",0,0,0,0,0,0,0
"23",1314,"1131314","Santo Tirso",0,0,0,0,0,0,0
"24",1318,"1131318","Trofa",0,0,0,0,0,0,0
"25",107,"1140107","Espinho",0,0,0,0,0,0,0
"26",1304,"1141304","Gondomar",0,0,0,0,0,0,0
"27",1306,"1141306","Maia",0,0,0,0,0,0,0
"28",1308,"1141308","Matosinhos",0,0,0,0,0,0,0
"29",1312,"1141312","Porto",0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0
"31",1315,"1141315","Valongo",0,0,1,0,0,0,1
"32",1316,"1141316","Vila do Conde",0,0,0,0,0,0,0
"33",1317,"1141317","Vila Nova de Gaia",0,0,2,0,0,0,2
"34",106,"1150106","Castelo de Paiva",0,0,2,0,0,0,2
"35",304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0
"36",305,"1150305","Celorico de Basto",0,0,2,0,0,0,2
"37",1301,"1151301","Amarante",0,0,0,0,0,0,0
"38",1302,"1151302","Baião",0,0,0,0,0,0,0
"39",1303,"1151303","Felgueiras",0,0,2,0,0,0,2
"40",1305,"1151305","Lousada",0,0,0,0,0,0,0
"41",1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,0
"42",1309,"1151309","Paços de Ferreira",0,0,0,0,0,0,0
"43",1310,"1151310","Paredes",0,0,0,0,0,0,0
"44",1311,"1151311","Penafiel",0,0,4,0,0,0,4
"45",1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0
"46",1709,"1151709","Ribeira de Pena",0,0,2,0,0,0,2
"47",1804,"1151804","Cinfães",0,0,2,0,0,0,2
"48",1813,"1151813","Resende",0,0,15,0,0,0,15
"49",104,"1160104","Arouca",0,0,0,0,0,0,0
"50",109,"1160109","Santa Maria da Feira",0,0,0,0,0,0,0
"51",113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0,0
"52",116,"1160116","São João da Madeira",0,0,0,0,0,0,0
"53",119,"1160119","Vale de Cambra",0,0,9,0,0,0,9
"54",403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0,0
"55",404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0,0
"56",409,"1170409","Torre de Moncorvo",0,0,1,0,0,0,1
"57",410,"1170410","Vila Flor",0,0,0,0,0,0,0
"58",914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0,0
"59",1701,"1171701","Alijó",0,0,3,0,0,0,3
"60",1704,"1171704","Mesão Frio",0,0,0,0,0,0,0
"61",1708,"1171708","Peso da Régua",0,0,0,0,0,0,0
"62",1710,"1171710","Sabrosa",0,0,0,0,0,0,0
"63",1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0
"64",1714,"1171714","Vila Real",0,0,14,0,0,0,14
"65",1801,"1171801","Armamar",0,0,0,0,0,0,0
"66",1805,"1171805","Lamego",0,0,0,0,0,0,0
"67",1807,"1171807","Moimenta da Beira",0,0,0,0,0,0,0
"68",1812,"1171812","Penedono",0,0,0,0,0,0,0
"69",1815,"1171815","São João da Pesqueira",0,0,0,0,0,0,0
"70",1818,"1171818","Sernancelhe",0,0,0,0,0,0,0
"71",1819,"1171819","Tabuaço",0,0,1,0,0,0,1
"72",1820,"1171820","Tarouca",0,0,3,0,0,0,3
"73",401,"1180401","Alfândega da Fé",0,0,0,0,0,0,0
"74",402,"1180402","Bragança",0,0,0,0,0,0,0
"75",405,"1180405","Macedo de Cavaleiros",0,0,0,0,0,0,0
"76",406,"1180406","Miranda do Douro",0,0,0,0,0,0,0
"77",407,"1180407","Mirandela",0,0,2,0,0,0,2
"78",408,"1180408","Mogadouro",0,0,0,0,0,0,0
"79",411,"1180411","Vimioso",0,0,0,0,0,0,0
"80",412,"1180412","Vinhais",0,0,0,0,0,0,0
"81",1702,"1181702","Boticas",0,0,0,0,0,0,0
"82",1703,"1181703","Chaves",0,0,0,0,0,0,0
"83",1706,"1181706","Montalegre",0,0,0,0,0,0,0
"84",1707,"1181707","Murça",0,0,0,0,0,0,0
"85",1712,"1181712","Valpaços",0,0,34,0,0,0,34
"86",1713,"1181713","Vila Pouca de Aguiar",0,0,18,0,0,0,18
"87",801,"1500801","Albufeira",0,0,0,0,0,0,0
"88",802,"1500802","Alcoutim",0,0,0,0,0,0,0
"89",803,"1500803","Aljezur",0,0,0,0,0,0,0
"90",804,"1500804","Castro Marim",0,0,0,0,0,0,0
"91",805,"1500805","Faro",0,0,0,0,0,0,0
"92",806,"1500806","Lagoa",0,0,0,0,0,0,0
"93",807,"1500807","Lagos",0,0,0,0,0,0,0
"94",808,"1500808","Loulé",0,0,0,0,0,0,0
"95",809,"1500809","Monchique",0,0,0,0,0,0,0
"96",810,"1500810","Olhão",0,0,0,0,0,0,0
"97",811,"1500811","Portimão",0,0,0,0,0,0,0
"98",812,"1500812","São Brás de Alportel",0,0,0,0,0,0,0
"99",813,"1500813","Silves",0,0,0,0,0,0,0
"100",814,"1500814","Tavira",0,0,0,0,0,0,0
"101",815,"1500815","Vila do Bispo",0,0,0,0,0,0,0
"102",816,"1500816","Vila Real de Santo António",0,0,0,0,0,0,0
"103",101,"1610101","Águeda",0,0,0,0,0,0,0
"104",102,"1610102","Albergaria-a-Velha",0,0,0,0,0,0,0
"105",103,"1610103","Anadia",0,0,0,0,0,0,0
"106",105,"1610105","Aveiro",0,0,0,0,0,0,0
"107",108,"1610108","Estarreja",0,0,0,0,0,0,0
"108",110,"1610110","Ílhavo",0,0,0,0,0,0,0
"109",111,"1610111","Mealhada",0,0,0,0,0,0,0
"110",112,"1610112","Murtosa",0,0,0,0,0,0,0
"111",114,"1610114","Oliveira do Bairro",0,0,0,0,0,0,0
"112",115,"1610115","Ovar",0,0,0,0,0,0,0
"113",117,"1610117","Sever do Vouga",0,0,0,0,0,0,0
