"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
1601,"1111601","Arcos de Valdevez",173,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",2839,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",381,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",14957,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",3462,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",62530,0,0,0,0,0,0,0,0
1608,"1111608","Valença",5263,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",46119,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",9556,0,0,0,0,0,0,0,0
301,"1120301","Amares",8864,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",786509,0,0,0,0,0,0,0,0
303,"1120303","Braga",71878,0,0,0,0,0,0,0,0
306,"1120306","Esposende",101343,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",35801,0,0,0,0,0,0,0,0
307,"1130307","Fafe",4501,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",56125,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",12776,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",47642,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",109999,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",2528,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",281732,0,0,0,0,0,0,0,0
314,"1130314","Vizela",3462,0,0,0,0,0,0,0,0
107,"1140107","Espinho",4640,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",3947,0,0,0,0,0,0,0,0
1306,"1141306","Maia",88636,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",74752,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",330482,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",18593,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",685235,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",3947,0,0,0,0,0,0,0,0
1301,"1151301","Amarante",6302,0,0,0,0,0,0,0,0
1302,"1151302","Baião",69,0,0,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",866,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",866,0,0,0,0,0,0,0,0
305,"1150305","Celorico de Basto",8032,0,0,0,0,0,0,0,0
1804,"1151804","Cinfães",69,0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",20740,0,0,0,0,0,0,0,0
1305,"1151305","Lousada",14092,0,0,0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",1074,0,0,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",35,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",19562,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",10906,0,0,0,0,0,0,0,0
1311,"1151311","Penafiel",20878,0,0,0,0,0,0,0,0
1813,"1151813","Resende",2562,0,0,0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",7098,0,0,0,0,0,0,0,0
104,"1160104","Arouca",60141,0,0,0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",112907,0,0,0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",26279,0,0,0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",11114,0,0,0,0,0,0,0,0
1701,"1171701","Alijó",277,0,0,0,0,0,0,0,0
1801,"1171801","Armamar",0,0,0,0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",485,0,0,0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",35,0,0,0,0,0,0,0,0
1805,"1171805","Lamego",0,0,0,0,0,0,0,0,0
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",32684,0,0,0,0,0,0,0,0
1812,"1171812","Penedono",4917,0,0,0,0,0,0,0,0
1708,"1171708","Peso da Régua",35,0,0,0,0,0,0,0,0
1710,"1171710","Sabrosa",5090,0,0,0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",104,0,0,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",35,0,0,0,0,0,0,0,0
1818,"1171818","Sernancelhe",8725,0,0,0,0,0,0,0,0
1819,"1171819","Tabuaço",0,0,0,0,0,0,0,0,0
1820,"1171820","Tarouca",7687,0,0,0,0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0,0,0,0
410,"1170410","Vila Flor",104,0,0,0,0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",69,0,0,0,0,0,0,0,0
1714,"1171714","Vila Real",13122,0,0,0,0,0,0,0,0
401,"1180401","Alfândega da Fé",796,0,0,0,0,0,0,0,0
1702,"1181702","Boticas",3670,0,0,0,0,0,0,0,0
402,"1180402","Bragança",6717,0,0,0,0,0,0,0,0
1703,"1181703","Chaves",63292,0,0,0,0,0,0,0,0
405,"1180405","Macedo de Cavaleiros",4570,0,0,0,0,0,0,0,0
406,"1180406","Miranda do Douro",21986,0,0,0,0,0,0,0,0
407,"1180407","Mirandela",2735,0,0,0,0,0,0,0,0
408,"1180408","Mogadouro",112977,0,0,0,0,0,0,0,0
1706,"1181706","Montalegre",11703,0,0,0,0,0,0,0,0
1707,"1181707","Murça",2528,0,0,0,0,0,0,0,0
1712,"1181712","Valpaços",8968,0,0,0,0,0,0,0,0
1713,"1181713","Vila Pouca de Aguiar",42345,0,0,0,0,0,0,0,0
411,"1180411","Vimioso",3843,0,0,0,0,0,0,0,0
412,"1180412","Vinhais",3636,0,0,0,0,0,0,0,0
101,"1610101","Águeda",27903,0,0,0,0,0,0,0,0
102,"1610102","Albergaria-a-Velha",34639,0,0,0,0,0,0,0,0
103,"1610103","Anadia",8337,0,0,0,0,0,0,0,0
105,"1610105","Aveiro",22148,0,0,0,0,0,0,0,0
108,"1610108","Estarreja",113462,0,0,0,0,0,0,0,0
110,"1610110","Ílhavo",7017,0,0,0,0,0,0,0,0
111,"1610111","Mealhada",12716,0,0,0,0,0,0,0,0
112,"1610112","Murtosa",67201,0,0,0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",17039,0,0,0,0,0,0,0,0
115,"1610115","Ovar",88198,0,0,0,0,0,0,0,0
117,"1610117","Sever do Vouga",5810,0,0,0,0,0,0,0,0
118,"1610118","Vagos",47327,0,0,0,0,0,0,0,0
602,"1620602","Cantanhede",86935,0,0,0,0,0,0,0,0
603,"1620603","Coimbra",8927,0,0,0,0,0,0,0,0
604,"1620604","Condeixa-a-Nova",2218,0,0,0,0,0,0,0,0
605,"1620605","Figueira da Foz",62570,0,0,0,0,0,0,0,0
608,"1620608","Mira",28857,0,0,0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",125224,0,0,0,0,0,0,0,0
613,"1620613","Penacova",0,0,0,0,0,0,0,0,0
615,"1620615","Soure",4407,0,0,0,0,0,0,0,0
1004,"1631004","Batalha",758,0,0,0,0,0,0,0,0
1009,"1631009","Leiria",32843,0,0,0,0,0,0,0,0
1010,"1631010","Marinha Grande",0,0,0,0,0,0,0,0,0
1015,"1631015","Pombal",14288,0,0,0,0,0,0,0,0
1016,"1631016","Porto de Mós",30317,0,0,0,0,0,0,0,0
1002,"1641002","Alvaiázere",84,0,0,0,0,0,0,0,0
1003,"1641003","Ansião",28,0,0,0,0,0,0,0,0
601,"1640601","Arganil",84,0,0,0,0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,0,0,0,0,0,0,0,0
606,"1640606","Góis",0,0,0,0,0,0,0,0,0
607,"1640607","Lousã",0,0,0,0,0,0,0,0,0
609,"1640609","Miranda do Corvo",168,0,0,0,0,0,0,0,0
611,"1640611","Oliveira do Hospital",28,0,0,0,0,0,0,0,0
612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0,0,0,0,0,0
614,"1640614","Penela",814,0,0,0,0,0,0,0,0
616,"1640616","Tábua",28,0,0,0,0,0,0,0,0
617,"1640617","Vila Nova de Poiares",225,0,0,0,0,0,0,0,0
901,"1650901","Aguiar da Beira",10134,0,0,0,0,0,0,0,0
1802,"1651802","Carregal do Sal",112,0,0,0,0,0,0,0,0
1803,"1651803","Castro Daire",1881,0,0,0,0,0,0,0,0
1806,"1651806","Mangualde",0,0,0,0,0,0,0,0,0
1808,"1651808","Mortágua",1375,0,0,0,0,0,0,0,0
1809,"1651809","Nelas",0,0,0,0,0,0,0,0,0
1810,"1651810","Oliveira de Frades",11228,0,0,0,0,0,0,0,0
1811,"1651811","Penalva do Castelo",589,0,0,0,0,0,0,0,0
1814,"1651814","Santa Comba Dão",28,0,0,0,0,0,0,0,0
1816,"1651816","São Pedro do Sul",6288,0,0,0,0,0,0,0,0
1817,"1651817","Sátão",8674,0,0,0,0,0,0,0,0
1821,"1651821","Tondela",3818,0,0,0,0,0,0,0,0
1822,"1651822","Vila Nova de Paiva",7888,0,0,0,0,0,0,0,0
1823,"1651823","Viseu",3902,0,0,0,0,0,0,0,0
1824,"1651824","Vouzela",7158,0,0,0,0,0,0,0,0
1413,"1661413","Mação",28,0,0,0,0,0,0,0,0
506,"1660506","Oleiros",0,0,0,0,0,0,0,0,0
508,"1660508","Proença-a-Nova",28,0,0,0,0,0,0,0,0
509,"1660509","Sertã",1375,0,0,0,0,0,0,0,0
510,"1660510","Vila de Rei",0,0,0,0,0,0,0,0,0
905,"1670905","Fornos de Algodres",786,0,0,0,0,0,0,0,0
906,"1670906","Gouveia",252,0,0,0,0,0,0,0,0
912,"1670912","Seia",168,0,0,0,0,0,0,0,0
902,"1680902","Almeida",21923,0,0,0,0,0,0,0,0
903,"1680903","Celorico da Beira",2891,0,0,0,0,0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",7916,0,0,0,0,0,0,0,0
907,"1680907","Guarda",22400,0,0,0,0,0,0,0,0
908,"1680908","Manteigas",225,0,0,0,0,0,0,0,0
909,"1680909","Mêda",365,0,0,0,0,0,0,0,0
910,"1680910","Pinhel",14372,0,0,0,0,0,0,0,0
911,"1680911","Sabugal",4463,0,0,0,0,0,0,0,0
913,"1680913","Trancoso",17235,0,0,0,0,0,0,0,0
502,"1690502","Castelo Branco",1768,0,0,0,0,0,0,0,0
505,"1690505","Idanha-a-Nova",44520,0,0,0,0,0,0,0,0
507,"1690507","Penamacor",12716,0,0,0,0,0,0,0,0
511,"1690511","Vila Velha de Ródão",1544,0,0,0,0,0,0,0,0
501,"16A0501","Belmonte",4716,0,0,0,0,0,0,0,0
503,"16A0503","Covilhã",28323,0,0,0,0,0,0,0,0
504,"16A0504","Fundão",20211,0,0,0,0,0,0,0,0
1001,"16B1001","Alcobaça",17628,0,0,0,0,0,0,0,0
1101,"16B1101","Alenquer",168,0,0,0,0,0,0,0,0
