"Muni_ID","ID","Muni","Bovine","Equides","Goats","Poultry","Rabbits","Sheep","Swine","total"
1601,"1111601","Arcos de Valdevez",444417.199,66264,6487.4,16616.75,74934,68556.2,4853.5,682129.049
1602,"1111602","Caminha",29738.0636,2992,528.12,9977,96219,16274,2079.5,157807.6836
1603,"1111603","Melgaço",58515,25828,2223.32,5853.35,25821,39808.1,3091,161139.77
1604,"1111604","Monção",115645.8378,23056,899.76,16517.66,67977,89135.7,5196.5,318428.4578
1605,"1111605","Paredes de Coura",180831.9936,12738,1030.16,6484.61,109296,53893.8,3471.5,367746.0636
1606,"1111606","Ponte da Barca",118373.98,19646,2314.6,6343.32,140148,10396.4,2161,299383.3
1607,"1111607","Ponte de Lima",438615.2788,11484,5261.64,31710.38,312912,57243.4,13182.5,870409.1988
1608,"1111608","Valença",55478.8496,10142,762.84,20969.11,26235,27871.2,9822,151280.9996
1609,"1111609","Viana do Castelo",312462.8136,22110,1434.4,135173.11,76239,22278,10172.5,579869.8236
1610,"1111610","Vila Nova de Cerveira",50022.3848,7876,919.32,3071.39,10989,14330.6,1052,88260.6948
301,"1120301","Amares",96258.5888,4576,821.52,229756.14,44100,11668.3,69344,456524.5488
302,"1120302","Barcelos",3582991.4968,9240,1643.04,56241.83,293526,19655.2,11200.5,3974498.0668
303,"1120303","Braga",498429.0248,5522,430.32,16042.21,125829,14883.6,7324,668460.1548
306,"1120306","Esposende",448359.2946,1276,280.36,11512.99,75843,3333.8,3202,543807.4446
310,"1120310","Terras de Bouro",86320,16940,2542.8,3519.14,74385,4368.7,2963,191038.64
313,"1120313","Vila Verde",340563.7532,12276,6709.08,26516.84,160596,48355.9,12533,607550.5732
307,"1130307","Fafe",149672.174,4994,815,11652.96,434430,27539.4,7905,637008.534
308,"1130308","Guimarães",381453.9158,11154,273.84,199161.8,98280,8168.6,7803,706295.1558
309,"1130309","Póvoa de Lanhoso",142821.2862,4488,782.4,13128.79,50661,13983,11161,237025.4762
1314,"1131314","Santo Tirso",230766.1648,2486,469.44,10992.04,29439,13477.4,11444.5,299074.5448
1318,"1131318","Trofa",491354.2446,1364,182.56,152377.9,22194,3428.6,2465,673366.3046
311,"1130311","Vieira do Minho",166230.1054,30514,854.12,6240.79,39933,26986.4,4904,275662.4154
312,"1130312","Vila Nova de Famalicão",1297230.6526,7128,1199.68,23353.18,82620,6873,91589,1509993.5126
314,"1130314","Vizela",20513.98,396,13.04,1669.78,6012,711,567,29882.8
107,"1140107","Espinho",21787.9332,0,6.52,149.53,1440,173.8,179,23736.7832
1304,"1141304","Gondomar",46589.1372,704,169.52,4688.36,25929,10941.5,1538,90559.5172
1306,"1141306","Maia",416545.888,1628,130.4,21444.83,18108,4637.3,1179,463673.418
1308,"1141308","Matosinhos",334348.5282,1408,123.88,2663.98,12276,3073.1,931.5,354824.9882
1312,"1141312","Porto",1670,0,32.6,224.8,270,229.1,26,2452.5
1313,"1141313","Póvoa de Varzim",1393717.891,3256,2920.96,18684.38,42408,1635.3,37167.5,1499790.031
1315,"1141315","Valongo",96438.1726,616,78.24,34096.65,553455,3871,245,688800.0626
1316,"1141316","Vila do Conde",2871860.0818,5962,365.12,22254.59,42093,5743.3,2932,2951210.0918
1317,"1141317","Vila Nova de Gaia",33379.1372,3014,143.44,3583.88,15696,7054.7,2717,65588.1572
1301,"1151301","Amarante",82067.0436,6490,3012.24,12426.11,66960,30509.8,10047,211512.1936
1302,"1151302","Baião",38202.8796,2662,2392.84,7618.28,47871,41380.2,7334,147461.1996
304,"1150304","Cabeceiras de Basto",183235.995,7392,1460.48,34714.24,99783,29538.1,8851,364974.815
106,"1150106","Castelo de Paiva",32685.995,1386,938.88,5233.01,32040,24332,4305,100920.885
305,"1150305","Celorico de Basto",135514.0336,3322,1662.6,30014.78,48069,22309.6,8557.5,249449.5136
1804,"1151804","Cinfães",129902.8796,3080,3925.04,6519.45,40527,56255.9,5861.5,246071.7696
1303,"1151303","Felgueiras",157817.4402,4466,326,37871.54,56781,3515.5,60720.5,321497.9802
1305,"1151305","Lousada",121330.9986,4488,156.48,12293.56,26712,6983.6,5234.5,177199.1386
1307,"1151307","Marco de Canaveses",40994.6338,5214,984.52,7783.27,30474,34704.7,5081,125236.1238
1705,"1151705","Mondim de Basto",80731.4398,3586,7204.6,4860.63,25164,3705.1,3948.5,129200.2698
1309,"1151309","Paços de Ferreira",107298.487,1166,449.88,8982.42,21528,12505.7,1849.5,153779.987
1310,"1151310","Paredes",95848.537,2816,456.4,7166.69,47025,14630.8,6570,174513.427
1311,"1151311","Penafiel",133158.1994,2420,423.8,8756.67,40554,16416.2,10106.5,211835.3694
1813,"1151813","Resende",37081.5452,1232,221.68,4093.3,24750,14480.7,3918.5,85777.7252
1709,"1151709","Ribeira de Pena",182930.159,3564,6624.32,5779.75,38574,6083,3030.5,246585.729
104,"1160104","Arouca",375350.9326,3256,3403.44,22100.27,34002,25272.1,10393.5,473778.2426
113,"1160113","Oliveira de Azeméis",496440.1878,1320,3455.6,52688.93,24615,4668.9,30701,613889.6178
109,"1160109","Santa Maria da Feira",144237.8082,2816,358.6,4807.03,28098,10593.9,30186,221097.3382
116,"1160116","São João da Madeira",0,0,0,0,936,0,0,936
119,"1160119","Vale de Cambra",86307.1758,616,3370.84,50136.94,24102,9835.5,5703,180071.4558
1701,"1171701","Alijó",19796.5184,10538,4707.44,2538.99,15228,12221.3,2112,67142.2484
1801,"1171801","Armamar",350,1584,652,1894.61,8757,4044.8,1812,19094.41
403,"1170403","Carrazeda de Ansiães",9435.1572,12056,2712.32,3337.16,11808,33235.3,4392.5,76976.4372
404,"1170404","Freixo de Espada à Cinta",4136.4398,4708,2568.88,937.94,3807,38923.3,896,55977.5598
1805,"1171805","Lamego",9195,4972,978,4054.47,15714,17854,3302.5,56069.97
1704,"1171704","Mesão Frio",0,0,0,606.17,1746,165.9,197,2715.07
1807,"1171807","Moimenta da Beira",158099.1712,3982,2829.68,54051.15,36891,21543.3,21531.5,298927.8012
1812,"1171812","Penedono",23544.4516,3102,2034.24,17970.01,6714,20524.2,2217,76105.9016
1708,"1171708","Peso da Régua",306.4398,858,456.4,2204.84,8541,4250.2,536,17152.8798
1710,"1171710","Sabrosa",29831.6506,3608,462.92,6321.25,256986,6857.2,2154,306221.0206
1711,"1171711","Santa Marta de Penaguião",579.3194,374,39.12,1935.04,6183,3531.3,124,12765.7794
1815,"1171815","São João da Pesqueira",2876.4398,4444,4101.08,2011.34,5211,15460.3,961.5,35065.6598
1818,"1171818","Sernancelhe",45772.8296,5852,5691.96,57090.39,104598,21701.3,3694.5,244400.9796
1819,"1171819","Tabuaço",2440,4114,84.76,2054.88,7227,9337.8,849,26107.44
1820,"1171820","Tarouca",41949.6356,3146,2314.6,5392.14,89847,4874.3,2830,150353.6756
409,"1170409","Torre de Moncorvo",1975,11814,6200.52,1973.78,132606,101009.4,1718.5,257297.2
410,"1170410","Vila Flor",8779.3194,9416,5137.76,2898.91,6831,42960.2,1658.5,77681.6894
914,"1170914","Vila Nova de Foz Côa",1167.8796,3806,2757.96,820.89,1143,41577.7,129.5,51402.9296
1714,"1171714","Vila Real",189485.6842,18282,4048.92,8708.46,177462,45188,4833,448008.0642
401,"1180401","Alfândega da Fé",23048.1154,7986,6083.16,2208.48,7524,56255.9,1628.5,104734.1554
1702,"1181702","Boticas",217742.6188,13156,2412.4,7609.07,165195,25935.7,7191,439241.7888
402,"1180402","Bragança",246794.3212,20174,8645.52,20104.08,64071,317872.3,22474,700135.2212
1703,"1181703","Chaves",361276.9544,49456,2816.64,25247.63,460737,148685.9,50340,1098560.1244
405,"1180405","Macedo de Cavaleiros",152050.0536,22132,13411.64,12149.45,191223,164138.3,10738.5,565842.9436
406,"1180406","Miranda do Douro",338374.273,14124,1251.84,36387.8,51012,151940.7,10283.5,603374.113
407,"1180407","Mirandela",27173.7442,24134,12159.8,10417.87,271962,143724.7,22799.5,512371.6142
408,"1180408","Mogadouro",552423.0674,20504,14115.8,6624.83,114723,186447.9,8040.5,902879.0974
1706,"1181706","Montalegre",743376.6524,47080,8502.08,11299.44,104535,66731.3,19148,1000672.4724
1707,"1181707","Murça",16180.1054,10428,6930.76,3351.2,14364,10206.8,2752.5,64213.3654
1712,"1181712","Valpaços",83812.9082,41800,7882.68,12391.48,90729,94823.7,14348.5,345788.2682
1713,"1181713","Vila Pouca de Aguiar",350580.8754,23408,6396.12,9924.81,142614,53427.7,5297.5,591649.0054
411,"1180411","Vimioso",118314.8178,15884,7745.76,7182.01,22086,87247.6,3750.5,262210.6878
412,"1180412","Vinhais",175061.179,17622,1238.8,10808.04,64881,149270.5,29204,448085.519
101,"1610101","Águeda",163262.7526,2068,1727.8,159094.49,78426,22617.7,21580.5,448777.2426
102,"1610102","Albergaria-a-Velha",242998.6486,3652,1134.48,395703.16,42363,4550.4,21224.5,711626.1886
103,"1610103","Anadia",48724.7963,1628,1369.2,117044.25,81351,9867.1,28158.5,288142.8463
105,"1610105","Aveiro",151451.8831,5434,1336.6,9177.98,15957,5632.7,12066.5,201056.6631
108,"1610108","Estarreja",657867.6318,7502,1753.88,17967.96,10692,5379.9,15502,716665.3718
110,"1610110","Ílhavo",46859.475,704,358.6,1394.22,171414,474,1991,223195.295
111,"1610111","Mealhada",73398.6287,1254,1734.32,187730.92,21177,3965.8,23037.5,312298.1687
112,"1610112","Murtosa",382793.8126,5082,241.24,6953.1,7380,1595.8,6219.5,410265.4526
114,"1610114","Oliveira do Bairro",95325.7453,1452,404.24,11181.72,18981,2875.6,16385,146605.3053
115,"1610115","Ovar",478135.5218,3916,378.16,172060.83,26100,1714.3,5145,687449.8118
117,"1610117","Sever do Vouga",40267.5853,264,1923.4,256507.29,125739,3878.9,9500.5,438080.6753
118,"1610118","Vagos",277076.4194,2904,938.88,47722.83,30474,3468.1,19158.5,381742.7294
602,"1620602","Cantanhede",487926.9163,6644,3638.16,25858.69,133974,8137,64935.5,731114.2663
603,"1620603","Coimbra",60817.8122,7942,5861.48,51678.41,23454,20650.6,18918.5,189322.8022
604,"1620604","Condeixa-a-Nova",14607.7741,1474,9454,5326.79,9558,15357.6,3079.5,58857.6641
605,"1620605","Figueira da Foz",360377.2591,6116,1343.12,115116,15570,16842.8,53281.5,568646.6791
608,"1620608","Mira",153476.9212,616,319.48,3942.3,91971,331.8,62670.5,313328.0012
610,"1620610","Montemor-o-Velho",753562.0919,11616,2894.88,16486.66,19800,41901.6,60018,906279.2319
613,"1620613","Penacova",3340,66,4355.36,4327.67,21663,21590.7,5114.5,60457.23
615,"1620615","Soure",50594.6903,3234,8534.68,1007839.89,16677,29388,9116.5,1125384.7603
1004,"1631004","Batalha",13718.1633,462,1538.72,76316.11,26010,7133.7,119164,244342.6933
1009,"1631009","Leiria",263573.743,3146,4981.28,947246.68,135432,37303.8,1722644,3114327.503
1010,"1631010","Marinha Grande",2660,528,26.08,881.17,3447,1951.3,786.5,10280.05
1015,"1631015","Pombal",141251.6711,3608,6930.76,357259.28,141201,64219.1,199620,914089.8111
1016,"1631016","Porto de Mós",233851.532,3278,11899,3730.67,53379,31900.2,823071,1161109.402
1002,"1641002","Alvaiázere",7942.5737,2860,7224.16,61163.71,14526,19212.8,4110,117039.2437
1003,"1641003","Ansião",12575.8579,638,8449.92,145716.8,19278,40574.4,28497,255729.9779
601,"1640601","Arganil",3322.5737,968,7237.2,37791.44,12600,21369.5,3156.5,86445.2137
1007,"1641007","Castanheira de Pêra",445,0,1023.64,384.09,2520,1785.4,444,6602.13
1008,"1641008","Figueiró dos Vinhos",560,0,854.12,1852.19,9513,5048.1,2121.5,19948.91
606,"1640606","Góis",1495,220,3631.64,636.21,2781,1485.2,29969.5,40218.55
607,"1640607","Lousã",4155,1100,2614.52,2092.22,65088,3728.8,2564,81342.54
609,"1640609","Miranda do Corvo",3030.1474,352,2647.12,2688.76,10233,5166.6,2681,26798.6274
611,"1640611","Oliveira do Hospital",2615.8579,3102,6109.24,19590.71,913707,69599,2661,1017384.8079
612,"1640612","Pampilhosa da Serra",195,0,2653.64,2244.26,10791,2504.3,657.5,19045.7
1013,"1641013","Pedrógão Grande",520,462,1519.16,2206.49,6435,4905.9,1406,17454.55
