"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
1601,"1111601","Arcos de Valdevez",93.6848,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",1534.68304,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",205.84256,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",8085.15048,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",1872.03632,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",33800.61344,0,0,0,0,0,0,0,0
1608,"1111608","Valença",2844.61056,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",24928.98848,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",5165.76808,0,0,0,0,0,0,0,0
301,"1120301","Amares",4791.02888,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",425142.84648,0,0,0,0,0,0,0,0
303,"1120303","Braga",38853.78376,0,0,0,0,0,0,0,0
306,"1120306","Esposende",54780.4664,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",19351.92512,0,0,0,0,0,0,0,0
307,"1130307","Fafe",2433.31528,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",30337.98504,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",6905.90384,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",25752.40888,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",59459.33752,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",1366.2264,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",152288.64024,0,0,0,0,0,0,0,0
314,"1130314","Vizela",1872.03632,0,0,0,0,0,0,0,0
107,"1140107","Espinho",2507.69728,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",2133.78792,0,0,0,0,0,0,0,0
1306,"1141306","Maia",47911.94848,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",40407.37976,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",178640.154,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",10050.48176,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",370400.15584,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",2133.78792,0,0,0,0,0,0,0,0
1301,"1151301","Amarante",3406.32952,0,0,0,0,0,0,0,0
1302,"1151302","Baião",37.38592,0,0,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",467.59416,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",467.59416,0,0,0,0,0,0,0,0
305,"1150305","Celorico de Basto",4341.90768,0,0,0,0,0,0,0,0
1804,"1151804","Cinfães",37.38592,0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",11210.4256,0,0,0,0,0,0,0,0
1305,"1151305","Lousada",7617.16648,0,0,0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",580.19192,0,0,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",18.91296,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",10574.3748,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",5895.50368,0,0,0,0,0,0,0,0
1311,"1151311","Penafiel",11285.63744,0,0,0,0,0,0,0,0
1813,"1151813","Resende",1385.13936,0,0,0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",3836.53776,0,0,0,0,0,0,0,0
