"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
1601,"1111601","Arcos de Valdevez",582.199,371280,9800,16775,4840,24240,220,4785,11895
1602,"1111602","Caminha",9548.0636,10160,1400,775,2440,3600,550,550,715
1603,"1111603","Melgaço",0,50880,1975,1350,600,2600,0,330,780
1604,"1111604","Monção",1280.8378,101760,2950,1900,1160,2520,495,2475,1105
1605,"1111605","Paredes de Coura",50301.9936,94400,2875,8450,2080,10400,2530,7975,1820
1606,"1111606","Ponte da Barca",11643.98,92160,600,3425,520,3760,990,4235,1040
1607,"1111607","Ponte de Lima",210290.2788,120240,13525,19100,16480,40800,2805,10890,4485
1608,"1111608","Valença",17698.8496,26480,475,2500,3000,1800,110,2310,1105
1609,"1111609","Viana do Castelo",155097.8136,57680,7500,16225,29400,27440,2310,7645,9165
1610,"1111610","Vila Nova de Cerveira",32137.3848,5440,2550,2350,1880,4920,330,220,195
301,"1120301","Amares",29808.5888,51840,6925,2450,80,4000,220,220,715
302,"1120302","Barcelos",2645046.4968,116480,85800,193400,109160,319240,8800,83875,21190
303,"1120303","Braga",241729.0248,130240,23025,20700,22200,43600,1925,7535,7475
306,"1120306","Esposende",340819.2946,5760,6800,23225,22680,39320,660,4675,4420
310,"1120310","Terras de Bouro",0,73920,4225,2200,160,3200,55,1650,910
313,"1120313","Vila Verde",120398.7532,159680,10675,11075,5640,17640,3025,10285,2145
307,"1130307","Fafe",15137.174,107840,18000,3775,1080,2400,55,605,780
308,"1130308","Guimarães",188748.9158,103520,20275,15800,11560,28600,1870,3410,7670
309,"1130309","Póvoa de Lanhoso",42966.2862,78960,8750,4175,640,5640,220,495,975
1314,"1131314","Santo Tirso",160221.1648,17280,650,14200,14640,17000,550,4015,2210
1318,"1131318","Trofa",369929.2446,4560,12925,27550,14160,39920,2530,17765,2015
311,"1130311","Vieira do Minho",8500.1054,129440,12250,3875,560,8080,0,990,2535
312,"1130312","Vila Nova de Famalicão",947470.6526,52880,30275,61650,29040,115360,1155,44385,15015
314,"1130314","Vizela",11643.98,5040,950,1000,480,880,0,0,520
107,"1140107","Espinho",15602.9332,0,25,1400,0,4760,0,0,0
1304,"1141304","Gondomar",13274.1372,1760,4275,1225,22240,1720,330,1375,390
1306,"1141306","Maia",298085.888,7360,4000,23800,23280,32280,165,24585,2990
1308,"1141308","Matosinhos",251393.5282,5360,8100,19950,15120,25680,220,7095,1430
1312,"1141312","Porto",0,240,750,0,680,0,0,0,0
1313,"1141313","Póvoa de Varzim",1111417.891,3600,14825,75725,17920,125240,935,41910,2145
1315,"1141315","Valongo",62528.1726,2720,2275,4950,16360,3920,0,2970,715
1316,"1141316","Vila do Conde",2304460.0818,10560,21475,166650,30320,270960,1045,63140,3250
1317,"1141317","Vila Nova de Gaia",13274.1372,5280,4650,750,4440,1960,550,330,2145
1301,"1151301","Amarante",21192.0436,26240,4875,3750,15200,5400,770,2365,2275
1302,"1151302","Baião",232.8796,25040,5650,775,1560,1600,220,2475,650
304,"1150304","Cabeceiras de Basto",2910.995,143440,23700,1625,480,6200,55,990,3835
106,"1150106","Castelo de Paiva",2910.995,12400,6775,525,3680,3600,110,1320,1365
305,"1150305","Celorico de Basto",27014.0336,71120,12675,3950,6360,7040,165,6215,975
1804,"1151804","Cinfães",232.8796,102240,9225,5400,1080,3920,165,5885,1755
1303,"1151303","Felgueiras",69747.4402,27680,19425,5175,10840,13320,935,6600,4095
1305,"1151305","Lousada",47390.9986,8720,16800,4075,26400,8520,385,3190,5850
1307,"1151307","Marco de Canaveses",3609.6338,20320,4100,1200,5040,1160,825,3245,1495
1705,"1151705","Mondim de Basto",116.4398,58720,8250,2400,3240,3880,0,2695,1430
1309,"1151309","Paços de Ferreira",65788.487,14640,625,6050,8040,9280,275,1430,1170
1310,"1151310","Paredes",36678.537,5520,5025,4250,29480,6600,1430,1210,5655
1311,"1151311","Penafiel",70213.1994,10240,4600,4475,14600,8560,660,4730,15080
1813,"1151813","Resende",8616.5452,21600,1050,1625,240,2080,0,1155,715
1709,"1151709","Ribeira de Pena",23870.159,114960,19525,4550,1520,9560,0,6930,2015
104,"1160104","Arouca",202255.9326,88320,9675,18725,12480,28280,825,11605,3185
113,"1160113","Oliveira de Azeméis",379710.1878,5120,6425,26100,22440,41760,1210,10230,3445
109,"1160109","Santa Maria da Feira",88377.8082,6960,3800,10475,12680,13360,3135,3630,1820
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",37377.1758,29280,9250,2275,1640,3880,605,1155,845
1701,"1171701","Alijó",931.5184,3280,1075,975,280,1000,0,11605,650
1801,"1171801","Armamar",0,0,175,0,0,0,110,0,65
403,"1170403","Carrazeda de Ansiães",1630.1572,1440,1900,225,480,1200,55,2310,195
404,"1170404","Freixo de Espada à Cinta",116.4398,480,1675,0,40,560,0,1265,0
1805,"1171805","Lamego",0,4960,1050,375,280,1040,550,550,390
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",109919.1712,880,2650,6775,3200,13040,1485,18590,1560
1812,"1171812","Penedono",16534.4516,3280,475,1100,520,880,0,495,260
1708,"1171708","Peso da Régua",116.4398,0,150,0,40,0,0,0,0
1710,"1171710","Sabrosa",17116.6506,2960,800,575,80,3520,110,4345,325
1711,"1171711","Santa Marta de Penaguião",349.3194,80,150,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",116.4398,0,25,75,120,0,0,2475,65
1818,"1171818","Sernancelhe",29342.8296,3440,1300,1650,520,3760,1045,4455,260
1819,"1171819","Tabuaço",0,80,625,25,40,120,0,1485,65
1820,"1171820","Tarouca",25849.6356,7440,625,1875,680,2320,55,2585,520
409,"1170409","Torre de Moncorvo",0,1600,200,0,0,120,0,55,0
410,"1170410","Vila Flor",349.3194,1200,2050,50,2040,760,1870,330,130
914,"1170914","Vila Nova de Foz Côa",232.8796,320,0,0,240,320,55,0,0
1714,"1171714","Vila Real",44130.6842,59360,21250,8225,3680,20240,6160,21890,4550
401,"1180401","Alfândega da Fé",2678.1154,6960,1125,800,240,2240,2750,5280,975
1702,"1181702","Boticas",12342.6188,144320,26175,1575,920,2480,55,24805,5070
402,"1180402","Bragança",22589.3212,124160,25875,5800,2240,13800,2255,41690,8385
1703,"1181703","Chaves",212851.9544,56560,19675,14425,3240,31560,1375,18535,3055
405,"1180405","Macedo de Cavaleiros",15370.0536,45360,22350,3650,1800,20440,10505,25685,6890
406,"1180406","Miranda do Douro",73939.273,187680,30875,6050,600,17800,55,17215,4160
407,"1180407","Mirandela",9198.7442,2560,3950,1400,960,6640,825,990,650
408,"1180408","Mogadouro",379943.0674,73600,16275,24375,2360,35960,3190,13145,3575
1706,"1181706","Montalegre",39356.6524,507760,78850,6825,2720,27200,2365,61270,17030
1707,"1181707","Murça",8500.1054,2080,1975,350,480,840,0,1760,195
1712,"1181712","Valpaços",30157.9082,25520,8100,2825,2200,4760,495,8910,845
1713,"1181713","Vila Pouca de Aguiar",142405.8754,133280,25025,10625,1880,23040,770,10175,3380
411,"1180411","Vimioso",12924.8178,30320,14650,1775,480,6680,605,46915,3965
412,"1180412","Vinhais",12226.179,102000,25350,1625,600,8200,440,21175,3445
101,"1610101","Águeda",115162.7526,9440,4700,6975,4040,15320,770,5555,1300
102,"1610102","Albergaria-a-Velha",142968.6486,23840,12800,11500,12760,19560,990,17215,1365
103,"1610103","Anadia",34409.7963,3200,2225,1000,1920,840,110,4565,455
105,"1610105","Aveiro",91411.8831,19360,4750,7175,8240,13880,275,5060,1300
108,"1610108","Estarreja",468297.6318,32560,6875,31825,24840,60880,3575,20240,8775
110,"1610110","Ílhavo",28964.475,1680,4200,2550,4040,3240,55,1155,975
