"Month","LATITUDE..ºN.","LONGITUDE..ºW.","Oct","Nov","Dec","sum"
"01F/02UG",42.01,-8.65,42.4,29.6,9.7,81.7
"01G/02UG",42.02,-8.46,92.9,57.7,0,150.6
"01H/04UG",42.11,-8.25,0,0,0,0
"01H/05G",42.06,-8.25,0,0,0,0
"01H/06UG",42.11,-8.21,0,0,0,0
"02E/03UG",41.85,-8.71,258.3,390.3,467.2,1115.8
"02F/02G",41.88,-8.57,4.1,0.7,117,121.8
"02G/04UG",41.97,-8.37,7.2,16.6,96.9,120.7
"02G/05UG",41.93,-8.42,0,0,0,0
"02G/09G",41.86,-8.43,183,195.5,215.5,594
"02G/11UG",41.83,-8.47,0,0,20.6,20.6
"02H/01UG",42,-8.26,99.4,439.6,209.1,748.1
"02H/05G",41.94,-8.24,77.5,99.4,73.2,250.1
"02H/10UG",41.87,-8.27,0.3,0,0,0.3
"02K/01UG",41.86,-7.76,17.9,0.3,99.1,117.3
"02O/02UG",41.83,-6.99,129.7,89.8,118.8,338.3
"02R/02G",41.85,-6.59,71.8,121.7,178.4,371.9
"03F/01G",41.77,-8.6,175.2,262,345.3,782.5
"03F/03UG",41.71,-8.67,89.6,0.6,0.1,90.3
"03F/04UG",41.79,-8.63,2.9,0,0,2.9
"03G/02C",41.8,-8.42,154.2,274.8,385.9,814.9
"03G/04UG",41.67,-8.38,0,0,0,0
"03H/02UG",41.74,-8.17,0,0,0,0
"03H/03UG",41.7,-8.21,101.7,159.3,115.9,376.9
"03H/05UG",41.75,-8.29,0.3,0.1,5.1,5.5
"03J/06UG",41.71,-7.85,0,0,0,0
"03J/07G",41.68,-7.99,74.1,2.1,368.7,444.9
"03K/02UG",41.78,-7.74,51.3,8.7,145.7,205.7
"03K/03UG",41.79,-7.78,87,1.5,75.5,164
"03K/04UG",41.79,-7.72,6.2,0.1,349.9,356.2
"03K/05UG",41.74,-7.68,4,10.4,61.6,76
"03K/07UG",41.7,-7.82,0,0,0,0
"03L/01UG",41.83,-7.57,0,0,0,0
"03L/02UG",41.75,-7.53,4.5,0,21.1,25.6
"03L/03G",41.69,-7.67,0.1,0,0,0.1
"03M/01G",41.73,-7.46,0.4,0.9,182.3,183.6
"03N/01G",41.83,-7.31,138.6,144.8,241.5,524.9
"04E/03UG",41.59,-8.71,112,70.2,134.6,316.8
"04F/01C",41.53,-8.62,8.4,0,154.7,163.1
"04G/04UG",41.6,-8.38,4.4,1.2,1.8,7.4
"04G/06C",41.54,-8.45,17.6,2.3,143.8,163.7
"04I/01CG",41.57,-8.12,4.6,0,33.5,38.1
"04I/02UG",41.64,-8.13,14.2,10.2,2.7,27.1
"04I/04UG",41.62,-8.09,41.5,4.5,161.3,207.3
"04I/05UG",41.53,-8.11,16.9,3,530.3,550.2
"04J/02C",41.64,-7.94,214.7,246.1,463.9,924.7
"04J/03UG",41.64,-7.84,86.9,22.9,351.7,461.5
"04J/06UG",41.51,-7.98,20.9,225.8,402,648.7
"04K/02G",41.5,-7.75,23.6,6.2,331.4,361.2
"04K/03UG",41.5,-7.69,48.8,170.1,462.3,681.2
"04L/01UG",41.64,-7.57,20.1,34.1,136.7,190.9
"04M/01UG",41.74,-7.5,112.4,17.3,204.2,333.9
"04M/02UG",41.52,-7.42,106.4,131.7,250.2,488.3
"04N/01C",41.54,-7.28,0.2,0,130.1,130.3
"04O/01G",41.66,-7.12,0.8,0,88,88.8
"04P/01UG",41.64,-6.89,0,0,0,0
"04P/03UG",41.6,-6.83,93.1,108.7,203.7,405.5
"04P/04UG",41.58,-6.89,0,0,235.9,235.9
"04P/05UG",41.59,-6.95,80.8,130.2,197.6,408.6
"04P/06UG",41.53,-6.96,23.9,106.4,50.9,181.2
"04Q/01UG",41.57,-6.72,0,0,144.3,144.3
"04R/01UG",41.64,-6.6,99.6,127.5,219.7,446.8
"04R/02G",41.64,-6.55,13.5,0.6,171.2,185.3
"05E/03UG",41.4,-8.76,111,47,4.5,162.5
"05F/01UG",41.46,-8.55,0,0,0,0
"05F/03UG",41.48,-8.67,0,0,0,0
"05G/05UG",41.48,-8.43,118,240.8,349.9,708.7
"05G/06UG",41.37,-8.36,18.5,0.1,6.2,24.8
"05H/03UG",41.38,-8.22,0,0,0,0
"05I/02G",41.38,-8.07,114,0.4,0,114.4
"05I/04G",41.48,-8.12,0.5,0,186.4,186.9
"05J/04G",41.37,-7.93,41,0.1,11.4,52.5
"05K/02UG",41.45,-7.76,0,0,0,0
"05L/01UG",41.5,-7.64,105.5,179.6,235.2,520.3
"05L/02C",41.46,-7.59,125.5,60.2,247.8,433.5
"05M/04UG",41.47,-7.35,0.4,0,147.7,148.1
"05O/01UG",41.46,-7,0,0,82.7,82.7
"05Q/02G",41.39,-6.73,0.7,0.2,33.8,34.7
"05Q/03UG",41.48,-6.72,23.2,96.3,23.5,143
"05Q/05G",41.39,-6.81,0.2,0.1,87.8,88.1
"05R/01UG",41.38,-6.56,0,0,0,0
"05S/01UG",41.43,-6.4,29,0.2,160.3,189.5
"06G/03G",41.26,-8.49,3.3,0.2,7.6,11.1
"06H/01UG",41.21,-8.3,14.8,0,194.5,209.3
"06I/01G",41.26,-8.07,0,0,180.8,180.8
"06I/02UG",41.18,-8.15,11.8,0,0,11.8
"06J/02UG",41.25,-7.97,135.5,110.4,375,620.9
"06J/02UG",41.25,-7.97,135.5,110.4,375,620.9
"06N/01C",41.3,-7.28,86,118.1,113.2,317.3
"06N/03UG",41.23,-7.27,84.1,148.5,233,465.6
"06O/04UG",41.17,-7.05,67.9,80,24.2,172.1
"06O/06C",41.25,-7.09,64,93.1,155.8,312.9
"06P/02UG",41.18,-6.89,48.9,19.7,151.6,220.2
"07L/10UG",41.1,-7.59,79.6,138.4,54.5,272.5
"07N/05UG",41.07,-7.22,0,0,0,0
"07O/05UG",41.02,-7.07,44,73.6,29.8,147.4
"07P/04UG",41.08,-6.9,1,0.4,39,40.4
"08G/01C",40.85,-8.38,175.2,285,301.9,762.1
"08I/01UG",40.95,-8.1,35.7,2.5,172,210.2
"08I/03UG",40.88,-8.03,208.8,336.6,471.8,1017.2
"08J/06G",40.92,-7.94,155.8,130.7,382.6,669.1
"08K/01UG",40.9,-7.75,120.1,53.4,0,173.5
"08L/03UG",40.98,-7.66,79.8,179,292,550.8
"08P/02G",40.95,-6.92,63.3,75.8,120.3,259.4
"09G/03UG",40.69,-8.37,197.7,273.3,296.8,767.8
"09H/01UG",40.67,-8.22,183.2,319.5,164.5,667.2
"09H/04UG",40.74,-8.3,179.7,185.7,208.4,573.8
"09I/01C",40.75,-8.07,35.6,1.5,130.7,167.8
"09L/02UG",40.7,-7.56,91.9,133.6,203.3,428.8
"09N/01UG",40.76,-7.32,0,0,0,0
"09O/01G",40.77,-7.06,54,69.6,114.7,238.3
"09P/02UG",40.72,-6.91,0,0,0,0
"10E/03UG",40.62,-8.71,155.5,200.2,203.6,559.3
"10G/01UG",40.52,-8.5,15,4.1,0,19.1
"10H/02G",40.59,-8.19,0,0,235.1,235.1
"10I/01UG",40.51,-8.1,0,0,0,0
"10I/02UG",40.58,-8.08,0,0,0,0
"10J/03UG",40.63,-7.85,91.5,156.6,277.4,525.5
"10K/01UG",40.6,-7.81,83.2,155.6,168.9,407.7
"10L/01UG",40.63,-7.53,0,0,0,0
"10M/02UG",40.59,-7.37,82.6,97.3,119,298.9
"10M/03UG",40.59,-7.49,0,0,0,0
"10N/01UG",40.65,-7.21,13.2,1.7,132,146.9
"10N/04UG",40.62,-7.28,0,0,0,0
"10O/01UG",40.6,-7.07,0.5,0.3,49.1,49.9
"10O/02UG",40.59,-7.13,72.6,42.6,135,250.2
"10Q/01UG",40.61,-6.83,83.6,77.5,103.6,264.7
"11E/01C",40.46,-8.79,156.7,203.1,233.2,593
"11F/02UG",40.46,-8.64,0,0,0,0
"11H/01UG",40.34,-8.23,98.8,118.4,0.2,217.4
"11I/01G",40.43,-8.12,0,63,262.6,325.6
"11I/03UG",40.43,-8,100.7,138.9,164.3,403.9
"11K/03UG",40.48,-7.79,93.8,134.5,138,366.3
"11L/07CG",40.38,-7.64,130.1,394.7,358.5,883.3
"11L/09G",40.4,-7.59,140.7,194.3,298.5,633.5
"11L/10G",40.41,-7.57,122.1,210.6,304.7,637.4
"11N/01UG",40.48,-7.25,124.5,14,0,138.5
"11N/02UG",40.37,-7.25,106.3,88.2,175,369.5
"12E/02UG",40.24,-8.75,0,0,0,0
"12F/01UG",40.24,-8.59,152.6,238.6,285,676.2
"12F/02C",40.18,-8.6,0,0,0,0
"12F/03UG",40.2,-8.65,161,211.3,255.1,627.4
"12G/04UG",40.28,-8.45,85.5,177.1,196.5,459.1
"12G/05C",40.31,-8.18,72.6,173.5,164,410.1
"12J/01UG",40.25,-7.98,0,0,0,0
"12K/01UG",40.21,-7.74,0,0,0,0
"12L/03G",40.28,-7.51,196.3,178.8,362.9,738
"12L/04UG",40.2,-7.52,85,81.8,183.5,350.3
"12M/02UG",40.2,-7.37,2.6,0.4,18.5,21.5
"12N/01UG",40.31,-7.24,0,0,0,0
"12O/01UG",40.16,-7.16,48.2,54.9,51.7,154.8
"13D/04UG",40.15,-8.84,87,139.3,154.5,380.8
"13E/01UG",40.13,-8.73,0,0,0,0
"13F/01G",40.05,-8.63,14.1,0.2,102.4,116.7
"13F/02UG",40.01,-8.52,106.2,208.7,78.2,393.1
