"Station","LATITUDE..ºN.","LONGITUDE..ºW.","May","Jun","Jul","sum"
"02R/02G",41.85,-6.59,123.1,6.5,7.4,137
"03E/02UG",41.74,-8.74,128.5,39.5,19,187
"03E/04UG",41.78,-8.77,174.4,37.1,7.1,218.6
"03E/05UG",41.79,-8.73,183.1,59.3,0,242.4
"03F/01G",41.77,-8.6,111.3,11.5,18.1,140.9
"03F/03UG",41.71,-8.67,136.3,30.4,19.6,186.3
"03F/04UG",41.79,-8.63,161.7,45,17,223.7
"03F/05UG",41.68,-8.55,79.2,15.3,8.7,103.2
"03G/02C",41.8,-8.42,109.5,16.1,0,125.6
"03G/03UG",41.72,-8.42,185.5,50.6,23.8,259.9
"03G/04UG",41.67,-8.38,142.4,29.9,17.7,190
"03G/05UG",41.73,-8.48,184.1,81.4,18.1,283.6
"03H/02UG",41.74,-8.17,216.5,38.8,21.2,276.5
"03H/03UG",41.7,-8.21,238.8,64.8,16.8,320.4
"03H/05UG",41.75,-8.29,185.7,40.8,25.9,252.4
"03I/04G",41.73,-8.01,169.2,46.3,27.5,243
"03I/06UG",41.71,-8.14,194.3,51.2,23.5,269
"03I/07G",41.7,-8.12,170.8,38.8,21.2,230.8
"03I/08UG",41.71,-8.05,143.3,33.3,18,194.6
"03I/09UG",41.68,-8.09,137.7,22,17.5,177.2
"03J/02UG",41.79,-7.94,167.5,28,4,199.5
"03J/03UG",41.76,-7.95,200.5,35.8,6,242.3
"03J/05G",41.72,-7.9,115.7,19.5,35,170.2
"03J/06UG",41.71,-7.85,0,0,0,0
"03K/02UG",41.78,-7.74,192.7,30.9,33.5,257.1
"03K/04UG",41.79,-7.72,127.9,11.1,7.6,146.6
"03K/05UG",41.74,-7.68,137.5,6.5,9.3,153.3
"03M/01G",41.73,-7.46,90.9,5,17,112.9
"03N/01G",41.83,-7.31,92.2,7.5,15.8,115.5
"03N/02UG",41.73,-7.31,74.8,3.7,15.3,93.8
"03O/01UC",41.74,-7.16,75.3,18.9,11.9,106.1
"03P/01UG",41.71,-6.92,93,12,11.9,116.9
"04E/02UG",41.53,-8.78,13.5,0,0,13.5
"04E/03UG",41.59,-8.71,138.5,3,14,155.5
"04F/01C",41.53,-8.62,67.5,19.1,14.2,100.8
"04F/03UG",41.58,-8.52,129.5,35.5,14.5,179.5
"04G/03UG",41.63,-8.45,123,33.4,13.7,170.1
"04G/05UG",41.51,-8.48,167.4,29.4,11.4,208.2
"04G/06C",41.54,-8.45,143.9,28.6,14.7,187.2
"04H/02UG",41.51,-8.24,130.2,26.4,6.7,163.3
"04I/02UG",41.64,-8.13,135.9,29,0,164.9
"04I/03UG",41.66,-8.03,192.7,30.9,33.5,257.1
"04I/04UG",41.62,-8.09,159,28,25.5,212.5
"04I/05UG",41.53,-8.11,151.5,34.2,11.5,197.2
"04J/04UG",41.5,-7.9,79.8,6.7,9.3,95.8
"04J/06UG",41.51,-7.98,102,10.1,12.2,124.3
"04K/02G",41.5,-7.75,138,24.8,18.4,181.2
"04L/01UG",41.64,-7.57,75.6,1.3,19.2,96.1
"04M/01UG",41.74,-7.5,40.1,1.8,14.4,56.3
"04M/02UG",41.52,-7.42,73.8,3,21.2,98
"04N/01C",41.54,-7.28,50,0,3,53
"04O/01G",41.66,-7.12,60.5,11.9,11.8,84.2
"04P/01UG",41.64,-6.89,0,0,16,16
"04P/02G",41.61,-6.88,88.2,14.1,6.7,109
"04P/05UG",41.59,-6.95,99.4,10.6,4.7,114.7
"04P/06UG",41.53,-6.96,129.9,12.4,7.6,149.9
"04Q/01UG",41.57,-6.72,90.4,35.4,10.9,136.7
"04R/02G",41.64,-6.55,96.6,33.3,3.6,133.5
"04R/03UG",41.52,-6.56,106.5,35.2,31.4,173.1
"04S/01UG",41.66,-6.43,121.7,28.5,13,163.2
"05E/03UG",41.4,-8.76,76.5,5.2,12,93.7
"05F/01UG",41.46,-8.55,109.6,21.5,14.7,145.8
"05F/02UG",41.36,-8.63,117.2,17,15.5,149.7
"05F/03UG",41.48,-8.67,96.9,25.8,5.8,128.5
"05G/03UG",41.41,-8.43,140,27,7,174
"05G/05UG",41.48,-8.43,121.9,19.5,11.3,152.7
"05G/06UG",41.37,-8.36,106.7,17,9.9,133.6
"05H/03UG",41.38,-8.22,105.2,14.9,4.6,124.7
"06P/02UG",41.18,-6.89,90.5,43,11,144.5
"06Q/01UG",41.18,-6.76,73.8,0,0,73.8
"07H/01UG",41.08,-8.29,92.7,16.6,13.2,122.5
"07L/10UG",41.1,-7.59,76.4,3.6,10.4,90.4
"07N/05UG",41.07,-7.22,70.1,42.4,15.7,128.2
"07O/05UG",41.02,-7.07,61,26,15.5,102.5
"07P/04UG",41.08,-6.9,35.9,8.4,3.1,47.4
"08F/02UG",40.92,-8.6,106,30.9,13.7,150.6
"08G/01C",40.85,-8.38,144.4,24,15.9,184.3
"08N/02G",40.91,-7.23,44.3,18.2,9.9,72.4
"08O/01UG",40.9,-7.07,48.2,28.8,2.6,79.6
"08P/02G",40.95,-6.92,72,17.5,5,94.5
"09L/01UG",40.82,-7.54,88.5,9,16,113.5
"09O/01G",40.77,-7.06,89.4,1.2,12.9,103.5
"09P/02UG",40.72,-6.91,62.5,21,0,83.5
"10E/03UG",40.62,-8.71,135.6,6.7,17.4,159.7
"10H/02G",40.59,-8.19,61,0.4,0.7,62.1
"10I/01UG",40.51,-8.1,64.3,5.7,0,70
"10M/01G",40.65,-7.39,61.2,5.2,44.8,111.2
"10N/01UG",40.65,-7.21,18,8.5,0,26.5
"10O/01UG",40.6,-7.07,63.2,21,16,100.2
"10O/02UG",40.59,-7.13,60,35,0,95
"10O/03G",40.51,-7.01,44.3,27,4.5,75.8
"11H/01UG",40.34,-8.23,80.1,0,2.3,82.4
"11I/01G",40.43,-8.12,88,8.5,16,112.5
"11J/01UG",40.48,-7.86,61.6,0,2.4,64
"11J/02C",40.36,-7.87,72,2,7,81
"11O/01G",40.43,-7.14,65.9,36.5,7.6,110
"11P/01UG",40.41,-6.87,42.6,23.5,37,103.1
"12E/02UG",40.24,-8.75,48.6,0,0,48.6
"12G/04UG",40.28,-8.45,42.8,3.1,0,45.9
"12G/05C",40.31,-8.18,91,0,0,91
"12L/03G",40.28,-7.51,35.1,0.1,25.2,60.4
"13F/01G",40.05,-8.63,68.4,1.4,2.7,72.5
"13F/02UG",40.01,-8.52,98.7,11.5,6.8,117
"13H/03UG",40.11,-8.25,56.2,0,0,56.2
"13I/02UG",40.13,-8.05,83.8,6,0,89.8
"13J/01UG",40.14,-7.92,111.9,9.9,1.9,123.7
"14F/01UG",39.9,-8.63,34.9,13.2,0,48.1
"14K/04UG",39.95,-7.79,62.5,5,10.6,78.1
"14N/02UG",39.83,-7.27,20.6,10.2,8.2,39
"14O/01UG",40,-7.15,29.6,24.5,0,54.1
"15F/02C",39.71,-8.53,77.3,0,0,77.3
"15G/01UG",39.83,-8.38,91.4,2.2,1.7,95.3
"15G/02G",39.77,-8.36,118.7,2,5.4,126.1
"15G/03UG",39.76,-8.46,65,0.5,2,67.5
"16C/01C",39.57,-9.07,58.1,1.7,33.9,93.7
"16C/02G",39.5,-9.1,93.5,1,44.5,139
"16D/01UG",39.56,-8.92,109.6,1.2,0,110.8
"16E/02G",39.52,-8.68,92.8,0,1.8,94.6
"16F/04C",39.52,-8.59,86.8,1.1,0,87.9
"16G/01UG",39.61,-8.39,115.1,0,0,115.1
"16G/02UG",39.53,-8.46,78.1,0,0,78.1
"16I/03UG",39.49,-8.1,36.8,0,1.5,38.3
"16I/04UG",39.54,-8.16,62.3,0,2.5,64.8
"16K/01G",39.65,-7.67,47.6,10.8,5.2,63.6
"16L/01UG",39.59,-7.53,37.2,3.5,1.1,41.8
"16L/03UG",39.52,-7.67,49.2,6.1,1.8,57.1
"16L/04UG",39.51,-7.52,29.2,13.5,0,42.7
"17C/05UG",39.44,-9.1,92.6,0,66.8,159.4
"17C/06G",39.38,-9.04,65.5,0.5,2.5,68.5
"17D/01UG",39.46,-8.98,88.5,0.9,0,89.4
"17D/04G",39.36,-8.85,88.8,0,2.9,91.7
"17E/02UG",39.42,-8.77,121.2,0.6,0.1,121.9
"17E/03UG",39.35,-8.74,102.9,0,0,102.9
"17F/01UG",39.39,-8.66,84.7,0,0,84.7
"17F/05UG",39.45,-8.53,88.3,0,2,90.3
"17G/02G",39.36,-8.49,52.9,0,0,52.9
"17G/04UG",39.48,-8.34,60.2,0.2,0,60.4
"17H/01C",39.45,-8.1,55.5,0,0,55.5
"17I/02UG",39.35,-8.14,49,0,0,49
"17J/01UG",39.46,-7.94,77.2,7.5,0.6,85.3
"17J/02UG",39.38,-7.9,66.4,6.4,0,72.8
"17K/01UG",39.4,-7.78,77.5,7,0,84.5
"17L/02UG",39.35,-7.65,57.6,4,0,61.6
"17L/03UG",39.41,-7.61,65.8,4.8,0.6,71.2
"17M/01G",39.41,-7.45,76.5,17.5,3.5,97.5
"17M/03UG",39.45,-7.37,97.8,14.6,5,117.4
"18B/01UG",39.28,-9.26,128.8,0.1,0,128.9
"18B/03UG",39.2,-9.23,86.2,0,2.2,88.4
"18B/04UG",39.18,-9.31,82.5,0,0,82.5
"18C/01G",39.2,-9.06,64.4,0,0,64.4
"18C/03UG",39.27,-9.1,71.2,0.5,8,79.7
"18D/01C",39.29,-8.93,67,0,0,67
"18D/02UG",39.28,-8.86,62.2,0,0,62.2
"18D/03C",39.21,-8.96,57.4,0,0,57.4
"18F/01UG",39.21,-8.62,63.8,0,0,63.8
"18G/01G",39.27,-8.35,59.8,0,0,59.8
"18G/02UG",39.31,-8.43,61.8,0,0,61.8
"18G/03UC",39.18,-8.48,61.2,0,0.8,62
"18H/04UG",39.28,-8.24,72,0,1.2,73.2
"18K/01C",39.26,-7.82,41.4,0,0,41.4
"18K/02UG",39.3,-7.72,32.7,0,3.4,36.1
"18L/01UG",39.22,-7.68,54.6,0,1.3,55.9
"18N/01UG",39.31,-7.31,72.6,0,0,72.6
"18N/02G",39.24,-7.32,66.6,0,3.6,70.2
"19B/03UG",39.14,-9.18,79.8,0,0.1,79.9
"19B/05C",39.06,-9.24,78,2,3,83
"19C/01UG",39.02,-9.15,72.5,0,0,72.5
"19C/03G",39.14,-9.01,73.6,0,0.7,74.3
"19C/04C",39.14,-9.08,66.2,0,0,66.2
"19C/08C",39.09,-9.03,60.8,0,0.9,61.7
"19D/02UG",39.11,-8.99,72,0,0,72
"19E/01UG",39.1,-8.71,121.9,0,10.5,132.4
"19G/01UG",39.12,-8.35,81,0,0.4,81.4
"19G/02UG",39.07,-8.46,93.3,0,0,93.3
"19H/02C",39.05,-8.17,60.4,0,1.4,61.8
"19J/03UG",39.06,-7.9,29.8,5,0,34.8
"19K/01UG",39.15,-7.78,38.9,0,0,38.9
"19L/01UG",39.13,-7.59,41.6,5.2,0,46.8
"19L/02UG",39.06,-7.65,53.9,4.9,0,58.8
"19M/01UG",39.06,-7.44,41.3,0,6.9,48.2
"19N/01UG",39.12,-7.28,38.6,0,5.2,43.8
"19N/03UG",39.16,-7.2,50,0,0,50
"19O/02C",39,-7.14,21.8,1,0,22.8
"19O/03UG",39.06,-7.12,35.8,1.5,0,37.3
"20B/02UG",39,-9.33,83.3,0.4,2,85.7
"20B/04GC",38.89,-9.33,32.9,0,6.3,39.2
"20B/06UG",38.95,-9.2,56.8,0,2.3,59.1
"20C/01C",38.84,-9.12,60.7,0.1,0,60.8
"20C/03G",38.95,-9.14,78.3,0,0,78.3
"20C/04UG",38.93,-9.07,53.1,0,3,56.1
"20D/01C",38.94,-8.95,44.8,0,15.5,60.3
"20E/01C",38.99,-8.69,91.1,0,0.3,91.4
"20E/02UG",38.86,-8.75,67.2,0,0,67.2
"20F/01UG",38.97,-8.52,72.8,0.1,0,72.9
"20I/01G",38.9,-8.01,57.5,3.6,0,61.1
"20I/02UG",38.87,-8.16,61.6,0,0,61.6
"20K/01UG",38.95,-7.67,63.9,4.6,0,68.5
"20K/02UG",38.95,-7.8,31.9,3,0,34.9
"20L/01G",38.84,-7.62,58.6,0,0,58.6
"20O/02UG",38.89,-7.09,29,0,0,29
"21A/09G",38.77,-9.38,63,1,6.1,70.1
"21A/10G",38.76,-9.42,82.7,2.4,6.7,91.8
"21B/10G",38.78,-9.3,67,0,0,67
